trial0038275, AA, 351, 14, 25.071429, ZIC, 962, 16, 60.125000, ZIP, 48, 2, 24.000000, 
trial0038276, AA, 557, 14, 39.785714, ZIC, 668, 16, 41.750000, ZIP, 135, 2, 67.500000, 
trial0038277, AA, 316, 14, 22.571429, ZIC, 1101, 16, 68.812500, ZIP, 66, 2, 33.000000, 
trial0038278, AA, 743, 14, 53.071429, ZIC, 589, 16, 36.812500, ZIP, 97, 2, 48.500000, 
trial0038279, AA, 614, 14, 43.857143, ZIC, 645, 16, 40.312500, ZIP, 26, 2, 13.000000, 
trial0038280, AA, 533, 14, 38.071429, ZIC, 616, 16, 38.500000, ZIP, 250, 2, 125.000000, 
trial0038281, AA, 574, 14, 41.000000, ZIC, 1460, 16, 91.250000, ZIP, 3, 2, 1.500000, 
trial0038282, AA, 621, 14, 44.357143, ZIC, 1095, 16, 68.437500, ZIP, 331, 2, 165.500000, 
trial0038283, AA, 823, 14, 58.785714, ZIC, 1233, 16, 77.062500, ZIP, 23, 2, 11.500000, 
trial0038284, AA, 1007, 14, 71.928571, ZIC, 955, 16, 59.687500, ZIP, 0, 2, 0.000000, 
trial0038285, AA, 800, 14, 57.142857, ZIC, 1209, 16, 75.562500, ZIP, 4, 2, 2.000000, 
trial0038286, AA, 909, 14, 64.928571, ZIC, 919, 16, 57.437500, ZIP, 20, 2, 10.000000, 
trial0038287, AA, 835, 14, 59.642857, ZIC, 929, 16, 58.062500, ZIP, 106, 2, 53.000000, 
trial0038288, AA, 977, 14, 69.785714, ZIC, 1007, 16, 62.937500, ZIP, 29, 2, 14.500000, 
trial0038289, AA, 668, 14, 47.714286, ZIC, 1036, 16, 64.750000, ZIP, 253, 2, 126.500000, 
trial0038290, AA, 903, 14, 64.500000, ZIC, 822, 16, 51.375000, ZIP, 266, 2, 133.000000, 
trial0038291, AA, 871, 14, 62.214286, ZIC, 881, 16, 55.062500, ZIP, 108, 2, 54.000000, 
trial0038292, AA, 983, 14, 70.214286, ZIC, 1049, 16, 65.562500, ZIP, 3, 2, 1.500000, 
trial0038293, AA, 1006, 14, 71.857143, ZIC, 758, 16, 47.375000, ZIP, 292, 2, 146.000000, 
trial0038294, AA, 1069, 14, 76.357143, ZIC, 814, 16, 50.875000, ZIP, 52, 2, 26.000000, 
trial0038295, AA, 818, 14, 58.428571, ZIC, 1249, 16, 78.062500, ZIP, 0, 2, 0.000000, 
trial0038296, AA, 685, 14, 48.928571, ZIC, 938, 16, 58.625000, ZIP, 283, 2, 141.500000, 
trial0038297, AA, 929, 14, 66.357143, ZIC, 922, 16, 57.625000, ZIP, 145, 2, 72.500000, 
trial0038298, AA, 576, 14, 41.142857, ZIC, 1266, 16, 79.125000, ZIP, 135, 2, 67.500000, 
trial0038299, AA, 964, 14, 68.857143, ZIC, 851, 16, 53.187500, ZIP, 115, 2, 57.500000, 
trial0038300, AA, 637, 14, 45.500000, ZIC, 1360, 16, 85.000000, ZIP, 71, 2, 35.500000, 
trial0038301, AA, 1155, 14, 82.500000, ZIC, 798, 16, 49.875000, ZIP, 104, 2, 52.000000, 
trial0038302, AA, 1042, 14, 74.428571, ZIC, 807, 16, 50.437500, ZIP, 153, 2, 76.500000, 
trial0038303, AA, 966, 14, 69.000000, ZIC, 528, 16, 33.000000, ZIP, 443, 2, 221.500000, 
trial0038304, AA, 946, 14, 67.571429, ZIC, 1002, 16, 62.625000, ZIP, 0, 2, 0.000000, 
trial0038305, AA, 819, 14, 58.500000, ZIC, 1034, 16, 64.625000, ZIP, 182, 2, 91.000000, 
trial0038306, AA, 916, 14, 65.428571, ZIC, 1035, 16, 64.687500, ZIP, 161, 2, 80.500000, 
trial0038307, AA, 1106, 14, 79.000000, ZIC, 751, 16, 46.937500, ZIP, 35, 2, 17.500000, 
trial0038308, AA, 929, 14, 66.357143, ZIC, 818, 16, 51.125000, ZIP, 327, 2, 163.500000, 
trial0038309, AA, 605, 14, 43.214286, ZIC, 1182, 16, 73.875000, ZIP, 204, 2, 102.000000, 
trial0038310, AA, 1346, 14, 96.142857, ZIC, 450, 16, 28.125000, ZIP, 217, 2, 108.500000, 
trial0038311, AA, 550, 14, 39.285714, ZIC, 716, 16, 44.750000, ZIP, 0, 2, 0.000000, 
trial0038312, AA, 578, 14, 41.285714, ZIC, 562, 16, 35.125000, ZIP, 3, 2, 1.500000, 
trial0038313, AA, 489, 14, 34.928571, ZIC, 696, 16, 43.500000, ZIP, 58, 2, 29.000000, 
trial0038314, AA, 583, 14, 41.642857, ZIC, 527, 16, 32.937500, ZIP, 128, 2, 64.000000, 
trial0038315, AA, 623, 14, 44.500000, ZIC, 495, 16, 30.937500, ZIP, 144, 2, 72.000000, 
trial0038316, AA, 291, 14, 20.785714, ZIC, 750, 16, 46.875000, ZIP, 125, 2, 62.500000, 
trial0038317, AA, 592, 14, 42.285714, ZIC, 447, 16, 27.937500, ZIP, 99, 2, 49.500000, 
trial0038318, AA, 790, 14, 56.428571, ZIC, 341, 16, 21.312500, ZIP, 175, 2, 87.500000, 
trial0038319, AA, 588, 14, 42.000000, ZIC, 499, 16, 31.187500, ZIP, 163, 2, 81.500000, 
trial0038320, AA, 735, 14, 52.500000, ZIC, 336, 16, 21.000000, ZIP, 151, 2, 75.500000, 
trial0038321, AA, 349, 14, 24.928571, ZIC, 744, 16, 46.500000, ZIP, 109, 2, 54.500000, 
trial0038322, AA, 801, 14, 57.214286, ZIC, 426, 16, 26.625000, ZIP, 0, 2, 0.000000, 
trial0038323, AA, 474, 14, 33.857143, ZIC, 735, 16, 45.937500, ZIP, 0, 2, 0.000000, 
trial0038324, AA, 594, 14, 42.428571, ZIC, 528, 16, 33.000000, ZIP, 163, 2, 81.500000, 
trial0038325, AA, 258, 14, 18.428571, ZIC, 899, 16, 56.187500, ZIP, 65, 2, 32.500000, 
trial0038326, AA, 451, 14, 32.214286, ZIC, 629, 16, 39.312500, ZIP, 80, 2, 40.000000, 
trial0038327, AA, 493, 14, 35.214286, ZIC, 661, 16, 41.312500, ZIP, 0, 2, 0.000000, 
trial0038328, AA, 593, 14, 42.357143, ZIC, 567, 16, 35.437500, ZIP, 86, 2, 43.000000, 
trial0038329, AA, 632, 14, 45.142857, ZIC, 500, 16, 31.250000, ZIP, 98, 2, 49.000000, 
trial0038330, AA, 672, 14, 48.000000, ZIC, 363, 16, 22.687500, ZIP, 222, 2, 111.000000, 
trial0038331, AA, 507, 14, 36.214286, ZIC, 623, 16, 38.937500, ZIP, 145, 2, 72.500000, 
trial0038332, AA, 523, 14, 37.357143, ZIC, 743, 16, 46.437500, ZIP, 95, 2, 47.500000, 
trial0038333, AA, 529, 14, 37.785714, ZIC, 876, 16, 54.750000, ZIP, 3, 2, 1.500000, 
trial0038334, AA, 539, 14, 38.500000, ZIC, 521, 16, 32.562500, ZIP, 124, 2, 62.000000, 
trial0038335, AA, 773, 14, 55.214286, ZIC, 376, 16, 23.500000, ZIP, 31, 2, 15.500000, 
trial0038336, AA, 809, 14, 57.785714, ZIC, 399, 16, 24.937500, ZIP, 0, 2, 0.000000, 
trial0038337, AA, 636, 14, 45.428571, ZIC, 563, 16, 35.187500, ZIP, 37, 2, 18.500000, 
trial0038338, AA, 502, 14, 35.857143, ZIC, 714, 16, 44.625000, ZIP, 20, 2, 10.000000, 
trial0038339, AA, 670, 14, 47.857143, ZIC, 581, 16, 36.312500, ZIP, 0, 2, 0.000000, 
trial0038340, AA, 339, 14, 24.214286, ZIC, 801, 16, 50.062500, ZIP, 122, 2, 61.000000, 
trial0038341, AA, 616, 14, 44.000000, ZIC, 624, 16, 39.000000, ZIP, 80, 2, 40.000000, 
trial0038342, AA, 980, 14, 70.000000, ZIC, 390, 16, 24.375000, ZIP, 110, 2, 55.000000, 
trial0038343, AA, 631, 14, 45.071429, ZIC, 523, 16, 32.687500, ZIP, 180, 2, 90.000000, 
trial0038344, AA, 632, 14, 45.142857, ZIC, 693, 16, 43.312500, ZIP, 8, 2, 4.000000, 
