B00, Bid, 024, 1, 51.75, 309
S07, Ask, 202, 1, 51.80, 310
S05, Ask, 392, 1, 51.90, 311
S05, Ask, 573, 1, 51.95, 312
S05, Ask, 998, 1, 52.00, 313
B05, Bid, 106, 1, 52.05, 314
B00, Bid, 044, 1, 52.10, 315
B03, Bid, 072, 1, 52.15, 316
S08, Ask, 165, 1, 52.20, 317
S09, Ask, 268, 1, 52.25, 318
B03, Bid, 059, 1, 52.30, 319
B01, Bid, 051, 1, 52.35, 320
B00, Bid, 030, 1, 52.40, 321
B03, Bid, 060, 1, 52.65, 322
B02, Bid, 006, 1, 52.70, 323
S01, Ask, 590, 1, 52.80, 324
B00, Bid, 004, 1, 53.00, 325
B00, Bid, 034, 1, 53.25, 326
S07, Ask, 202, 1, 53.30, 327
S01, Ask, 663, 1, 53.35, 328
S07, Ask, 202, 1, 53.40, 329
S05, Ask, 922, 1, 53.45, 330
B00, Bid, 023, 1, 53.65, 331
B05, Bid, 106, 1, 53.70, 332
B00, Bid, 024, 1, 53.80, 333
B01, Bid, 051, 1, 53.85, 334
S07, Ask, 202, 1, 53.90, 335
B04, Bid, 094, 1, 53.95, 336
B05, Bid, 106, 1, 54.00, 337
S05, Ask, 569, 1, 54.10, 338
S09, Ask, 504, 1, 54.20, 339
S05, Ask, 518, 1, 54.30, 340
B05, Bid, 106, 1, 54.35, 341
S05, Ask, 423, 1, 54.50, 342
B01, Bid, 051, 1, 54.55, 343
B01, Bid, 051, 1, 54.60, 344
B05, Bid, 106, 1, 54.75, 345
S01, Ask, 301, 1, 54.80, 346
S05, Ask, 465, 1, 54.95, 347
S06, Ask, 415, 1, 55.15, 348
S08, Ask, 165, 1, 55.20, 349
B04, Bid, 094, 1, 55.30, 350
S09, Ask, 472, 1, 55.45, 351
B05, Bid, 106, 1, 55.50, 352
S01, Ask, 813, 1, 55.55, 353
S07, Ask, 202, 1, 55.60, 354
S07, Ask, 202, 1, 55.70, 355
B01, Bid, 051, 1, 55.75, 356
S01, Ask, 184, 1, 55.80, 357
B00, Bid, 011, 1, 55.85, 358
B01, Bid, 051, 1, 56.15, 359
S01, Ask, 823, 1, 56.25, 360
S07, Ask, 202, 1, 56.35, 361
S06, Ask, 718, 1, 56.40, 362
B00, Bid, 001, 1, 56.45, 363
S08, Ask, 165, 1, 56.55, 364
B05, Bid, 106, 1, 56.60, 365
S07, Ask, 202, 1, 56.65, 366
S01, Ask, 607, 1, 56.70, 367
B01, Bid, 051, 1, 56.75, 368
B01, Bid, 051, 1, 56.80, 369
B05, Bid, 106, 1, 56.85, 370
B04, Bid, 094, 1, 56.90, 371
B02, Bid, 043, 1, 57.15, 372
S07, Ask, 202, 1, 57.25, 373
S06, Ask, 847, 1, 57.30, 374
B02, Bid, 026, 1, 57.40, 375
B05, Bid, 106, 1, 57.45, 376
S09, Ask, 766, 1, 57.50, 377
B01, Bid, 051, 1, 57.55, 378
B03, Bid, 091, 1, 57.65, 379
B02, Bid, 005, 1, 57.70, 380
S07, Ask, 202, 1, 57.75, 381
B00, Bid, 003, 1, 57.80, 382
B00, Bid, 049, 1, 57.95, 383
S09, Ask, 179, 1, 58.05, 384
B03, Bid, 061, 1, 58.15, 385
B05, Bid, 106, 1, 58.20, 386
B02, Bid, 015, 1, 58.35, 387
B01, Bid, 051, 1, 58.40, 388
S07, Ask, 202, 1, 58.45, 389
S09, Ask, 496, 1, 58.50, 390
S09, Ask, 387, 1, 58.55, 391
S06, Ask, 817, 1, 58.60, 392
S07, Ask, 202, 1, 58.75, 393
S05, Ask, 235, 1, 58.80, 394
S08, Ask, 165, 1, 58.85, 395
B04, Bid, 094, 1, 59.00, 396
S05, Ask, 407, 1, 59.05, 397
S05, Ask, 687, 1, 59.20, 398
B03, Bid, 005, 1, 59.25, 399
S08, Ask, 165, 1, 59.30, 400
B00, Bid, 035, 1, 59.35, 401
S05, Ask, 407, 1, 59.40, 402
S09, Ask, 338, 1, 59.45, 403
S05, Ask, 656, 1, 59.50, 404
S07, Ask, 202, 1, 59.55, 405
B05, Bid, 106, 1, 59.75, 406
S09, Ask, 895, 1, 59.80, 407
S07, Ask, 202, 1, 59.95, 408
B03, Bid, 018, 1, 60.00, 409
B03, Bid, 038, 1, 60.05, 410
S00, Ask, 122, 1, 60.10, 411
S04, Ask, 443, 1, 60.15, 412
S04, Ask, 443, 1, 60.20, 413
S07, Ask, 424, 1, 60.25, 414
S07, Ask, 424, 1, 60.30, 415
S07, Ask, 424, 1, 60.35, 416
S01, Ask, 770, 1, 60.40, 417
B09, Bid, 174, 1, 60.45, 418
B02, Bid, 033, 1, 60.50, 419
B06, Bid, 129, 1, 60.55, 420
S07, Ask, 349, 1, 60.60, 421
S08, Ask, 271, 1, 60.65, 422
S09, Ask, 778, 1, 60.70, 423
B05, Bid, 108, 1, 60.75, 424
S07, Ask, 287, 1, 60.80, 425
B02, Bid, 058, 1, 60.85, 426
B07, Bid, 103, 1, 60.90, 427
B07, Bid, 121, 1, 60.95, 428
B08, Bid, 131, 1, 61.00, 429
S09, Ask, 543, 1, 61.05, 430
S04, Ask, 267, 1, 61.10, 431
S05, Ask, 376, 1, 61.20, 432
S02, Ask, 125, 1, 61.25, 433
B01, Bid, 053, 1, 61.30, 434
B05, Bid, 108, 1, 61.35, 435
B00, Bid, 040, 1, 61.40, 436
S06, Ask, 510, 1, 61.45, 437
B06, Bid, 129, 1, 61.50, 438
S03, Ask, 653, 1, 61.55, 439
B01, Bid, 053, 1, 61.60, 440
S06, Ask, 517, 1, 61.65, 441
B06, Bid, 129, 1, 61.70, 442
B06, Bid, 129, 1, 61.75, 443
S03, Ask, 841, 1, 61.85, 444
S08, Ask, 251, 1, 61.90, 445
B03, Bid, 011, 1, 62.00, 446
S09, Ask, 454, 1, 62.05, 447
B04, Bid, 097, 1, 62.10, 448
S03, Ask, 382, 1, 62.15, 449
B03, Bid, 023, 1, 62.20, 450
B04, Bid, 097, 1, 62.25, 451
S06, Ask, 223, 1, 62.30, 452
B04, Bid, 097, 1, 62.35, 453
B02, Bid, 050, 1, 62.40, 454
B03, Bid, 006, 1, 62.45, 455
B04, Bid, 097, 1, 62.50, 456
S07, Ask, 211, 1, 62.55, 457
B02, Bid, 026, 1, 62.60, 458
B05, Bid, 108, 1, 62.65, 459
S03, Ask, 489, 1, 62.80, 460
S09, Ask, 469, 1, 62.85, 461
B02, Bid, 015, 1, 62.90, 462
S06, Ask, 609, 1, 62.95, 463
S09, Ask, 777, 1, 63.00, 464
S08, Ask, 217, 1, 63.05, 465
S07, Ask, 211, 1, 63.15, 466
S05, Ask, 228, 1, 63.20, 467
B04, Bid, 097, 1, 63.25, 468
S09, Ask, 586, 1, 63.30, 469
S08, Ask, 217, 1, 63.35, 470
S08, Ask, 217, 1, 63.45, 471
S05, Ask, 799, 1, 63.55, 472
B04, Bid, 097, 1, 63.60, 473
