trial0043372, GDX, 22, 4, 5.500000, ZIC, 327, 28, 11.678571, 
trial0043373, GDX, 0, 4, 0.000000, ZIC, 337, 28, 12.035714, 
trial0043374, GDX, 51, 4, 12.750000, ZIC, 304, 28, 10.857143, 
trial0043375, GDX, 9, 4, 2.250000, ZIC, 340, 28, 12.142857, 
trial0043376, GDX, 69, 4, 17.250000, ZIC, 316, 28, 11.285714, 
trial0043377, GDX, 46, 4, 11.500000, ZIC, 291, 28, 10.392857, 
trial0043378, GDX, 44, 4, 11.000000, ZIC, 269, 28, 9.607143, 
trial0043379, GDX, 10, 4, 2.500000, ZIC, 327, 28, 11.678571, 
trial0043380, GDX, 83, 4, 20.750000, ZIC, 302, 28, 10.785714, 
trial0043381, GDX, 157, 4, 39.250000, ZIC, 474, 28, 16.928571, 
trial0043382, GDX, 69, 4, 17.250000, ZIC, 552, 28, 19.714286, 
trial0043383, GDX, 106, 4, 26.500000, ZIC, 535, 28, 19.107143, 
trial0043384, GDX, 92, 4, 23.000000, ZIC, 499, 28, 17.821429, 
trial0043385, GDX, 20, 4, 5.000000, ZIC, 581, 28, 20.750000, 
trial0043386, GDX, 109, 4, 27.250000, ZIC, 482, 28, 17.214286, 
trial0043387, GDX, 108, 4, 27.000000, ZIC, 493, 28, 17.607143, 
trial0043388, GDX, 102, 4, 25.500000, ZIC, 509, 28, 18.178571, 
trial0043389, GDX, 125, 4, 31.250000, ZIC, 476, 28, 17.000000, 
trial0043390, GDX, 10, 4, 2.500000, ZIC, 601, 28, 21.464286, 
trial0043391, GDX, 67, 4, 16.750000, ZIC, 484, 28, 17.285714, 
trial0043392, GDX, 27, 4, 6.750000, ZIC, 574, 28, 20.500000, 
trial0043393, GDX, 116, 4, 29.000000, ZIC, 475, 28, 16.964286, 
trial0043394, GDX, 14, 4, 3.500000, ZIC, 547, 28, 19.535714, 
trial0043395, GDX, 36, 4, 9.000000, ZIC, 595, 28, 21.250000, 
trial0043396, GDX, 0, 4, 0.000000, ZIC, 621, 28, 22.178571, 
trial0043397, GDX, 38, 4, 9.500000, ZIC, 523, 28, 18.678571, 
trial0043398, GDX, 95, 4, 23.750000, ZIC, 506, 28, 18.071429, 
trial0043399, GDX, 173, 4, 43.250000, ZIC, 468, 28, 16.714286, 
trial0043400, GDX, 55, 4, 13.750000, ZIC, 546, 28, 19.500000, 
trial0043401, GDX, 101, 4, 25.250000, ZIC, 450, 28, 16.071429, 
trial0043402, GDX, 26, 4, 6.500000, ZIC, 585, 28, 20.892857, 
trial0043403, GDX, 21, 4, 5.250000, ZIC, 570, 28, 20.357143, 
trial0043404, GDX, 14, 4, 3.500000, ZIC, 597, 28, 21.321429, 
trial0043405, GDX, 56, 4, 14.000000, ZIC, 525, 28, 18.750000, 
trial0043406, GDX, 0, 4, 0.000000, ZIC, 621, 28, 22.178571, 
trial0043407, GDX, 102, 4, 25.500000, ZIC, 539, 28, 19.250000, 
trial0043408, GDX, 69, 4, 17.250000, ZIC, 542, 28, 19.357143, 
trial0043409, GDX, 56, 4, 14.000000, ZIC, 575, 28, 20.535714, 
trial0043410, GDX, 40, 4, 10.000000, ZIC, 601, 28, 21.464286, 
trial0043411, GDX, 54, 4, 13.500000, ZIC, 337, 28, 12.035714, 
trial0043412, GDX, 46, 4, 11.500000, ZIC, 338, 28, 12.071429, 
trial0043413, GDX, 15, 4, 3.750000, ZIC, 389, 28, 13.892857, 
trial0043414, GDX, 59, 4, 14.750000, ZIC, 332, 28, 11.857143, 
trial0043415, GDX, 31, 4, 7.750000, ZIC, 328, 28, 11.714286, 
trial0043416, GDX, 101, 4, 25.250000, ZIC, 257, 28, 9.178571, 
trial0043417, GDX, 72, 4, 18.000000, ZIC, 319, 28, 11.392857, 
trial0043418, GDX, 36, 4, 9.000000, ZIC, 302, 28, 10.785714, 
trial0043419, GDX, 49, 4, 12.250000, ZIC, 329, 28, 11.750000, 
trial0043420, GDX, 72, 4, 18.000000, ZIC, 300, 28, 10.714286, 
trial0043421, GDX, 26, 4, 6.500000, ZIC, 339, 28, 12.107143, 
trial0043422, GDX, 61, 4, 15.250000, ZIC, 310, 28, 11.071429, 
trial0043423, GDX, 107, 4, 26.750000, ZIC, 290, 28, 10.357143, 
trial0043424, GDX, 14, 4, 3.500000, ZIC, 377, 28, 13.464286, 
trial0043425, GDX, 27, 4, 6.750000, ZIC, 370, 28, 13.214286, 
trial0043426, GDX, 103, 4, 25.750000, ZIC, 267, 28, 9.535714, 
trial0043427, GDX, 68, 4, 17.000000, ZIC, 323, 28, 11.535714, 
trial0043428, GDX, 24, 4, 6.000000, ZIC, 334, 28, 11.928571, 
trial0043429, GDX, 44, 4, 11.000000, ZIC, 315, 28, 11.250000, 
trial0043430, GDX, 83, 4, 20.750000, ZIC, 289, 28, 10.321429, 
trial0043431, GDX, 103, 4, 25.750000, ZIC, 294, 28, 10.500000, 
trial0043432, GDX, 38, 4, 9.500000, ZIC, 327, 28, 11.678571, 
trial0043433, GDX, 62, 4, 15.500000, ZIC, 322, 28, 11.500000, 
trial0043434, GDX, 78, 4, 19.500000, ZIC, 313, 28, 11.178571, 
trial0043435, GDX, 35, 4, 8.750000, ZIC, 362, 28, 12.928571, 
trial0043436, GDX, 43, 4, 10.750000, ZIC, 315, 28, 11.250000, 
