trial0013680, 000600, AA, 152, 2, 76.000000, GDX, 1174, 14, 83.857143, ZIC, 485, 16, 30.312500, 119, 120, 
trial0013681, 000600, AA, 130, 2, 65.000000, GDX, 177, 14, 12.642857, ZIC, 113, 16, 7.062500, 155, 160, 
trial0013682, 000600, AA, 89, 2, 44.500000, GDX, 147, 14, 10.500000, ZIC, 210, 16, 13.125000, 128, 146, 
trial0013683, 000600, AA, 40, 2, 20.000000, GDX, 394, 14, 28.142857, ZIC, 77, 16, 4.812500, 122, 135, 
trial0013684, 000600, AA, 0, 2, 0.000000, GDX, 256, 14, 18.285714, ZIC, 73, 16, 4.562500, 142, 179, 
trial0013685, 000600, AA, 28, 2, 14.000000, GDX, 106, 14, 7.571429, ZIC, 158, 16, 9.875000, 150, 159, 
trial0013686, 000600, AA, 110, 2, 55.000000, GDX, 99, 14, 7.071429, ZIC, 107, 16, 6.687500, 122, 124, 
trial0013687, 000600, AA, 75, 2, 37.500000, GDX, 198, 14, 14.142857, ZIC, 125, 16, 7.812500, 135, 142, 
trial0013688, 000600, AA, 94, 2, 47.000000, GDX, 269, 14, 19.214286, ZIC, 216, 16, 13.500000, 141, 145, 
trial0013689, 000600, AA, 79, 2, 39.500000, GDX, 439, 14, 31.357143, ZIC, 182, 16, 11.375000, 138, 141, 
trial0013690, 000600, AA, 126, 2, 63.000000, GDX, 298, 14, 21.285714, ZIC, 172, 16, 10.750000, 131, 135, 
trial0013691, 000600, AA, 4, 2, 2.000000, GDX, 165, 14, 11.785714, ZIC, 166, 16, 10.375000, 127, 128, 
trial0013692, 000600, AA, 13, 2, 6.500000, GDX, 186, 14, 13.285714, ZIC, 131, 16, 8.187500, 138, 151, 
trial0013693, 000600, AA, 37, 2, 18.500000, GDX, 15, 14, 1.071429, ZIC, 199, 16, 12.437500, 161, 165, 
trial0013694, 000600, AA, 0, 2, 0.000000, GDX, 79, 14, 5.642857, ZIC, 120, 16, 7.500000, 132, 133, 
trial0013695, 000600, AA, 18, 2, 9.000000, GDX, 178, 14, 12.714286, ZIC, 86, 16, 5.375000, 144, 153, 
trial0013696, 000600, AA, 0, 2, 0.000000, GDX, 139, 14, 9.928571, ZIC, 109, 16, 6.812500, 122, 161, 
trial0013697, 000600, AA, 30, 2, 15.000000, GDX, 185, 14, 13.214286, ZIC, 21, 16, 1.312500, 128, 137, 
trial0013698, 000600, AA, 0, 2, 0.000000, GDX, 110, 14, 7.857143, ZIC, 60, 16, 3.750000, 142, 165, 
