trial0004706, ZIC, 4717, 16, 294.812500, ZIP, 4623, 16, 288.937500, 
trial0004707, ZIC, 6166, 16, 385.375000, ZIP, 2896, 16, 181.000000, 
trial0004708, ZIC, 6306, 16, 394.125000, ZIP, 3328, 16, 208.000000, 
trial0004709, ZIC, 5625, 16, 351.562500, ZIP, 3007, 16, 187.937500, 
trial0004710, ZIC, 3944, 16, 246.500000, ZIP, 5058, 16, 316.125000, 
trial0004711, ZIC, 1049, 16, 65.562500, ZIP, 1457, 16, 91.062500, 
trial0004712, ZIC, 1352, 16, 84.500000, ZIP, 1569, 16, 98.062500, 
trial0004713, ZIC, 934, 16, 58.375000, ZIP, 1539, 16, 96.187500, 
trial0004714, ZIC, 969, 16, 60.562500, ZIP, 2348, 16, 146.750000, 
trial0004715, ZIC, 1327, 16, 82.937500, ZIP, 1712, 16, 107.000000, 
trial0004716, ZIC, 991, 16, 61.937500, ZIP, 2397, 16, 149.812500, 
trial0004717, ZIC, 1231, 16, 76.937500, ZIP, 1807, 16, 112.937500, 
trial0004718, ZIC, 1109, 16, 69.312500, ZIP, 1751, 16, 109.437500, 
trial0004719, ZIC, 561, 16, 35.062500, ZIP, 2552, 16, 159.500000, 
trial0004720, ZIC, 1153, 16, 72.062500, ZIP, 2045, 16, 127.812500, 
trial0004721, ZIC, 642, 16, 40.125000, ZIP, 2482, 16, 155.125000, 
trial0004722, ZIC, 911, 16, 56.937500, ZIP, 1932, 16, 120.750000, 
trial0004723, ZIC, 1597, 16, 99.812500, ZIP, 1625, 16, 101.562500, 
trial0004724, ZIC, 1022, 16, 63.875000, ZIP, 2184, 16, 136.500000, 
trial0004725, ZIC, 1196, 16, 74.750000, ZIP, 2188, 16, 136.750000, 
trial0004726, ZIC, 1331, 16, 83.187500, ZIP, 2107, 16, 131.687500, 
trial0004727, ZIC, 765, 16, 47.812500, ZIP, 2204, 16, 137.750000, 
trial0004728, ZIC, 966, 16, 60.375000, ZIP, 1896, 16, 118.500000, 
trial0004729, ZIC, 687, 16, 42.937500, ZIP, 2706, 16, 169.125000, 
trial0004730, ZIC, 562, 16, 35.125000, ZIP, 2672, 16, 167.000000, 
trial0004731, ZIC, 814, 16, 50.875000, ZIP, 2215, 16, 138.437500, 
trial0004732, ZIC, 1011, 16, 63.187500, ZIP, 1596, 16, 99.750000, 
trial0004733, ZIC, 921, 16, 57.562500, ZIP, 1996, 16, 124.750000, 
trial0004734, ZIC, 1136, 16, 71.000000, ZIP, 1978, 16, 123.625000, 
trial0004735, ZIC, 647, 16, 40.437500, ZIP, 2263, 16, 141.437500, 
trial0004736, ZIC, 551, 16, 34.437500, ZIP, 2212, 16, 138.250000, 
trial0004737, ZIC, 391, 16, 24.437500, ZIP, 2694, 16, 168.375000, 
trial0004738, ZIC, 755, 16, 47.187500, ZIP, 2429, 16, 151.812500, 
trial0004739, ZIC, 1114, 16, 69.625000, ZIP, 2149, 16, 134.312500, 
trial0004740, ZIC, 835, 16, 52.187500, ZIP, 2444, 16, 152.750000, 
trial0004741, ZIC, 2168, 16, 135.500000, ZIP, 5026, 16, 314.125000, 
trial0004742, ZIC, 4674, 16, 292.125000, ZIP, 3191, 16, 199.437500, 
trial0004743, ZIC, 3834, 16, 239.625000, ZIP, 3194, 16, 199.625000, 
trial0004744, ZIC, 2205, 16, 137.812500, ZIP, 5404, 16, 337.750000, 
trial0004745, ZIC, 2951, 16, 184.437500, ZIP, 4605, 16, 287.812500, 
trial0004746, ZIC, 4087, 16, 255.437500, ZIP, 3283, 16, 205.187500, 
