trial0005259, ZIC, 4137, 38, 108.868421, ZIP, 587, 2, 293.500000, 
trial0005260, ZIC, 4870, 38, 128.157895, ZIP, 192, 2, 96.000000, 
trial0005261, ZIC, 4169, 38, 109.710526, ZIP, 604, 2, 302.000000, 
trial0005262, ZIC, 4413, 38, 116.131579, ZIP, 135, 2, 67.500000, 
trial0005263, ZIC, 4143, 38, 109.026316, ZIP, 528, 2, 264.000000, 
trial0005264, ZIC, 4988, 38, 131.263158, ZIP, 513, 2, 256.500000, 
trial0005265, ZIC, 4752, 38, 125.052632, ZIP, 243, 2, 121.500000, 
trial0005266, ZIC, 3919, 38, 103.131579, ZIP, 596, 2, 298.000000, 
trial0005267, ZIC, 3935, 38, 103.552632, ZIP, 734, 2, 367.000000, 
trial0005268, ZIC, 4364, 38, 114.842105, ZIP, 464, 2, 232.000000, 
trial0005269, ZIC, 4151, 38, 109.236842, ZIP, 791, 2, 395.500000, 
trial0005270, ZIC, 4558, 38, 119.947368, ZIP, 195, 2, 97.500000, 
trial0005271, ZIC, 4855, 38, 127.763158, ZIP, 129, 2, 64.500000, 
trial0005272, ZIC, 4085, 38, 107.500000, ZIP, 494, 2, 247.000000, 
trial0005273, ZIC, 4134, 38, 108.789474, ZIP, 241, 2, 120.500000, 
trial0005274, ZIC, 3803, 38, 100.078947, ZIP, 424, 2, 212.000000, 
trial0005275, ZIC, 3987, 38, 104.921053, ZIP, 554, 2, 277.000000, 
trial0005276, ZIC, 3911, 38, 102.921053, ZIP, 391, 2, 195.500000, 
trial0005277, ZIC, 4406, 38, 115.947368, ZIP, 836, 2, 418.000000, 
trial0005278, ZIC, 4809, 38, 126.552632, ZIP, 589, 2, 294.500000, 
trial0005279, ZIC, 4508, 38, 118.631579, ZIP, 374, 2, 187.000000, 
trial0005280, ZIC, 4606, 38, 121.210526, ZIP, 13, 2, 6.500000, 
trial0005281, ZIC, 4100, 38, 107.894737, ZIP, 151, 2, 75.500000, 
trial0005282, ZIC, 3652, 38, 96.105263, ZIP, 859, 2, 429.500000, 
trial0005283, ZIC, 3931, 38, 103.447368, ZIP, 493, 2, 246.500000, 
trial0005284, ZIC, 4582, 38, 120.578947, ZIP, 119, 2, 59.500000, 
trial0005285, ZIC, 4267, 38, 112.289474, ZIP, 925, 2, 462.500000, 
trial0005286, ZIC, 4613, 38, 121.394737, ZIP, 330, 2, 165.000000, 
trial0005287, ZIC, 4136, 38, 108.842105, ZIP, 216, 2, 108.000000, 
trial0005288, ZIC, 4708, 38, 123.894737, ZIP, 859, 2, 429.500000, 
trial0005289, ZIC, 4625, 38, 121.710526, ZIP, 174, 2, 87.000000, 
trial0005290, ZIC, 3864, 38, 101.684211, ZIP, 328, 2, 164.000000, 
trial0005291, ZIC, 3634, 38, 95.631579, ZIP, 33, 2, 16.500000, 
trial0005292, ZIC, 4423, 38, 116.394737, ZIP, 247, 2, 123.500000, 
trial0005293, ZIC, 4548, 38, 119.684211, ZIP, 229, 2, 114.500000, 
trial0005294, ZIC, 4242, 38, 111.631579, ZIP, 520, 2, 260.000000, 
trial0005295, ZIC, 4927, 38, 129.657895, ZIP, 266, 2, 133.000000, 
trial0005296, ZIC, 4453, 38, 117.184211, ZIP, 143, 2, 71.500000, 
trial0005297, ZIC, 4887, 38, 128.605263, ZIP, 179, 2, 89.500000, 
trial0005298, ZIC, 4056, 38, 106.736842, ZIP, 828, 2, 414.000000, 
trial0005299, ZIC, 4190, 38, 110.263158, ZIP, 1067, 2, 533.500000, 
trial0005300, ZIC, 4664, 38, 122.736842, ZIP, 24, 2, 12.000000, 
trial0005301, ZIC, 8842, 38, 232.684211, ZIP, 822, 2, 411.000000, 
trial0005302, ZIC, 8451, 38, 222.394737, ZIP, 891, 2, 445.500000, 
trial0005303, ZIC, 8098, 38, 213.105263, ZIP, 650, 2, 325.000000, 
trial0005304, ZIC, 8636, 38, 227.263158, ZIP, 19, 2, 9.500000, 
trial0005305, ZIC, 8965, 38, 235.921053, ZIP, 3, 2, 1.500000, 
trial0005306, ZIC, 8012, 38, 210.842105, ZIP, 1094, 2, 547.000000, 
trial0005307, ZIC, 8587, 38, 225.973684, ZIP, 554, 2, 277.000000, 
trial0005308, ZIC, 8605, 38, 226.447368, ZIP, 695, 2, 347.500000, 
trial0005309, ZIC, 8183, 38, 215.342105, ZIP, 822, 2, 411.000000, 
trial0005310, ZIC, 8439, 38, 222.078947, ZIP, 13, 2, 6.500000, 
trial0005311, ZIC, 8365, 38, 220.131579, ZIP, 80, 2, 40.000000, 
trial0005312, ZIC, 8158, 38, 214.684211, ZIP, 867, 2, 433.500000, 
trial0005313, ZIC, 7848, 38, 206.526316, ZIP, 650, 2, 325.000000, 
trial0005314, ZIC, 7824, 38, 205.894737, ZIP, 1104, 2, 552.000000, 
trial0005315, ZIC, 9172, 38, 241.368421, ZIP, 453, 2, 226.500000, 
trial0005316, ZIC, 8450, 38, 222.368421, ZIP, 328, 2, 164.000000, 
trial0005317, ZIC, 8861, 38, 233.184211, ZIP, 671, 2, 335.500000, 
trial0005318, ZIC, 7486, 38, 197.000000, ZIP, 1146, 2, 573.000000, 
trial0005319, ZIC, 7848, 38, 206.526316, ZIP, 642, 2, 321.000000, 
