trial0000165, AA, 3659, 20, 182.950000, GDX, 3248, 20, 162.400000, 
trial0000166, AA, 5167, 20, 258.350000, GDX, 2333, 20, 116.650000, 
trial0000167, AA, 3372, 20, 168.600000, GDX, 4031, 20, 201.550000, 
trial0000168, AA, 3644, 20, 182.200000, GDX, 3590, 20, 179.500000, 
trial0000169, AA, 3196, 20, 159.800000, GDX, 3883, 20, 194.150000, 
trial0000170, AA, 3874, 20, 193.700000, GDX, 3295, 20, 164.750000, 
trial0000171, AA, 3939, 20, 196.950000, GDX, 3373, 20, 168.650000, 
trial0000172, AA, 4559, 20, 227.950000, GDX, 2868, 20, 143.400000, 
trial0000173, AA, 3301, 20, 165.050000, GDX, 3588, 20, 179.400000, 
trial0000174, AA, 4111, 20, 205.550000, GDX, 3218, 20, 160.900000, 
trial0000175, AA, 3933, 20, 196.650000, GDX, 2925, 20, 146.250000, 
trial0000176, AA, 5411, 20, 270.550000, GDX, 1729, 20, 86.450000, 
trial0000177, AA, 3341, 20, 167.050000, GDX, 3431, 20, 171.550000, 
trial0000178, AA, 4619, 20, 230.950000, GDX, 2540, 20, 127.000000, 
trial0000179, AA, 4015, 20, 200.750000, GDX, 3252, 20, 162.600000, 
trial0000180, AA, 3603, 20, 180.150000, GDX, 3279, 20, 163.950000, 
trial0000181, AA, 4592, 20, 229.600000, GDX, 2529, 20, 126.450000, 
trial0000182, AA, 2930, 20, 146.500000, GDX, 4116, 20, 205.800000, 
trial0000183, AA, 3358, 20, 167.900000, GDX, 3543, 20, 177.150000, 
trial0000184, AA, 3158, 20, 157.900000, GDX, 3624, 20, 181.200000, 
trial0000185, AA, 5345, 20, 267.250000, GDX, 1816, 20, 90.800000, 
trial0000186, AA, 3760, 20, 188.000000, GDX, 3563, 20, 178.150000, 
trial0000187, AA, 3500, 20, 175.000000, GDX, 3726, 20, 186.300000, 
trial0000188, AA, 4422, 20, 221.100000, GDX, 2416, 20, 120.800000, 
trial0000189, AA, 3211, 20, 160.550000, GDX, 3958, 20, 197.900000, 
trial0000190, AA, 2817, 20, 140.850000, GDX, 2761, 20, 138.050000, 
trial0000191, AA, 3824, 20, 191.200000, GDX, 2306, 20, 115.300000, 
trial0000192, AA, 2653, 20, 132.650000, GDX, 4031, 20, 201.550000, 
trial0000193, AA, 1715, 20, 85.750000, GDX, 4881, 20, 244.050000, 
trial0000194, AA, 3641, 20, 182.050000, GDX, 3712, 20, 185.600000, 
