trial0004188, GDX, 49, 2, 24.500000, ZIC, 6326, 38, 166.473684, 
trial0004189, GDX, 651, 2, 325.500000, ZIC, 5013, 38, 131.921053, 
trial0004190, GDX, 32, 2, 16.000000, ZIC, 5856, 38, 154.105263, 
trial0004191, GDX, 164, 2, 82.000000, ZIC, 6175, 38, 162.500000, 
trial0004192, GDX, 405, 2, 202.500000, ZIC, 5071, 38, 133.447368, 
trial0004193, GDX, 997, 2, 498.500000, ZIC, 5287, 38, 139.131579, 
trial0004194, GDX, 896, 2, 448.000000, ZIC, 5441, 38, 143.184211, 
trial0004195, GDX, 807, 2, 403.500000, ZIC, 5337, 38, 140.447368, 
trial0004196, GDX, 316, 2, 158.000000, ZIC, 5700, 38, 150.000000, 
trial0004197, GDX, 933, 2, 466.500000, ZIC, 5229, 38, 137.605263, 
trial0004198, GDX, 753, 2, 376.500000, ZIC, 5574, 38, 146.684211, 
trial0004199, GDX, 1335, 2, 667.500000, ZIC, 4542, 38, 119.526316, 
trial0004200, GDX, 597, 2, 298.500000, ZIC, 6033, 38, 158.763158, 
trial0004201, GDX, 372, 2, 186.000000, ZIC, 2175, 38, 57.236842, 
trial0004202, GDX, 532, 2, 266.000000, ZIC, 2601, 38, 68.447368, 
trial0004203, GDX, 296, 2, 148.000000, ZIC, 3228, 38, 84.947368, 
trial0004204, GDX, 779, 2, 389.500000, ZIC, 2491, 38, 65.552632, 
trial0004205, GDX, 742, 2, 371.000000, ZIC, 2351, 38, 61.868421, 
trial0004206, GDX, 178, 2, 89.000000, ZIC, 2949, 38, 77.605263, 
trial0004207, GDX, 772, 2, 386.000000, ZIC, 2768, 38, 72.842105, 
trial0004208, GDX, 652, 2, 326.000000, ZIC, 2721, 38, 71.605263, 
trial0004209, GDX, 538, 2, 269.000000, ZIC, 3173, 38, 83.500000, 
trial0004210, GDX, 395, 2, 197.500000, ZIC, 2692, 38, 70.842105, 
trial0004211, GDX, 856, 2, 428.000000, ZIC, 2346, 38, 61.736842, 
trial0004212, GDX, 55, 2, 27.500000, ZIC, 3640, 38, 95.789474, 
trial0004213, GDX, 501, 2, 250.500000, ZIC, 3084, 38, 81.157895, 
trial0004214, GDX, 463, 2, 231.500000, ZIC, 2689, 38, 70.763158, 
trial0004215, GDX, 184, 2, 92.000000, ZIC, 2651, 38, 69.763158, 
trial0004216, GDX, 23, 2, 11.500000, ZIC, 2686, 38, 70.684211, 
trial0004217, GDX, 748, 2, 374.000000, ZIC, 3160, 38, 83.157895, 
trial0004218, GDX, 0, 2, 0.000000, ZIC, 3060, 38, 80.526316, 
trial0004219, GDX, 92, 2, 46.000000, ZIC, 3199, 38, 84.184211, 
trial0004220, GDX, 266, 2, 133.000000, ZIC, 2868, 38, 75.473684, 
trial0004221, GDX, 329, 2, 164.500000, ZIC, 2696, 38, 70.947368, 
trial0004222, GDX, 102, 2, 51.000000, ZIC, 3160, 38, 83.157895, 
trial0004223, GDX, 47, 2, 23.500000, ZIC, 3234, 38, 85.105263, 
trial0004224, GDX, 7, 2, 3.500000, ZIC, 3143, 38, 82.710526, 
trial0004225, GDX, 590, 2, 295.000000, ZIC, 2378, 38, 62.578947, 
trial0004226, GDX, 18, 2, 9.000000, ZIC, 2562, 38, 67.421053, 
trial0004227, GDX, 474, 2, 237.000000, ZIC, 2635, 38, 69.342105, 
trial0004228, GDX, 769, 2, 384.500000, ZIC, 2899, 38, 76.289474, 
trial0004229, GDX, 772, 2, 386.000000, ZIC, 3325, 38, 87.500000, 
trial0004230, GDX, 41, 2, 20.500000, ZIC, 3167, 38, 83.342105, 
trial0004231, GDX, 80, 2, 40.000000, ZIC, 3100, 38, 81.578947, 
trial0004232, GDX, 61, 2, 30.500000, ZIC, 3078, 38, 81.000000, 
trial0004233, GDX, 632, 2, 316.000000, ZIC, 2803, 38, 73.763158, 
