trial0001133, AA, 4156, 14, 296.857143, GDX, 1850, 14, 132.142857, ZIC, 1355, 14, 96.785714, 
trial0001134, AA, 2677, 14, 191.214286, GDX, 2988, 14, 213.428571, ZIC, 1947, 14, 139.071429, 
trial0001135, AA, 2453, 14, 175.214286, GDX, 3237, 14, 231.214286, ZIC, 2290, 14, 163.571429, 
trial0001136, AA, 3063, 14, 218.785714, GDX, 2901, 14, 207.214286, ZIC, 1439, 14, 102.785714, 
trial0001137, AA, 1853, 14, 132.357143, GDX, 3462, 14, 247.285714, ZIC, 2223, 14, 158.785714, 
trial0001138, AA, 3087, 14, 220.500000, GDX, 1368, 14, 97.714286, ZIC, 2875, 14, 205.357143, 
trial0001139, AA, 2290, 14, 163.571429, GDX, 2206, 14, 157.571429, ZIC, 2315, 14, 165.357143, 
trial0001140, AA, 3147, 14, 224.785714, GDX, 3061, 14, 218.642857, ZIC, 1134, 14, 81.000000, 
trial0001141, AA, 3502, 14, 250.142857, GDX, 4642, 14, 331.571429, ZIC, 201, 14, 14.357143, 
trial0001142, AA, 5045, 14, 360.357143, GDX, 1932, 14, 138.000000, ZIC, 1124, 14, 80.285714, 
trial0001143, AA, 1216, 14, 86.857143, GDX, 3726, 14, 266.142857, ZIC, 1722, 14, 123.000000, 
trial0001144, AA, 1982, 14, 141.571429, GDX, 2776, 14, 198.285714, ZIC, 2599, 14, 185.642857, 
trial0001145, AA, 3726, 14, 266.142857, GDX, 1417, 14, 101.214286, ZIC, 2098, 14, 149.857143, 
trial0001146, AA, 1778, 14, 127.000000, GDX, 2681, 14, 191.500000, ZIC, 2679, 14, 191.357143, 
trial0001147, AA, 1492, 14, 106.571429, GDX, 3630, 14, 259.285714, ZIC, 2327, 14, 166.214286, 
trial0001148, AA, 4042, 14, 288.714286, GDX, 2725, 14, 194.642857, ZIC, 1645, 14, 117.500000, 
trial0001149, AA, 2770, 14, 197.857143, GDX, 1930, 14, 137.857143, ZIC, 3040, 14, 217.142857, 
trial0001150, AA, 2928, 14, 209.142857, GDX, 2042, 14, 145.857143, ZIC, 2284, 14, 163.142857, 
trial0001151, AA, 3028, 14, 216.285714, GDX, 2442, 14, 174.428571, ZIC, 1816, 14, 129.714286, 
