trial0017664, 000600, AA, 91, 4, 22.750000, GDX, 144, 18, 8.000000, ZIP, 210, 10, 21.000000, 118, 125, 
trial0017665, 000600, AA, 68, 4, 17.000000, GDX, 274, 18, 15.222222, ZIP, 440, 10, 44.000000, 92, 117, 
trial0017666, 000600, AA, 59, 4, 14.750000, GDX, 490, 18, 27.222222, ZIP, 464, 10, 46.400000, 143, 147, 
trial0017667, 000600, AA, 174, 4, 43.500000, GDX, 336, 18, 18.666667, ZIP, 419, 10, 41.900000, 88, 99, 
trial0017668, 000600, AA, 35, 4, 8.750000, GDX, 379, 18, 21.055556, ZIP, 148, 10, 14.800000, 0, N, 
trial0017669, 000600, AA, 106, 4, 26.500000, GDX, 447, 18, 24.833333, ZIP, 280, 10, 28.000000, 90, 113, 
trial0017670, 000600, AA, 54, 4, 13.500000, GDX, 144, 18, 8.000000, ZIP, 90, 10, 9.000000, 113, 117, 
trial0017671, 000600, AA, 15, 4, 3.750000, GDX, 325, 18, 18.055556, ZIP, 498, 10, 49.800000, 98, 112, 
trial0017672, 000600, AA, 101, 4, 25.250000, GDX, 225, 18, 12.500000, ZIP, 173, 10, 17.300000, N, 114, 
trial0017673, 000600, AA, 84, 4, 21.000000, GDX, 451, 18, 25.055556, ZIP, 291, 10, 29.100000, 92, 95, 
trial0017674, 000600, AA, 11, 4, 2.750000, GDX, 240, 18, 13.333333, ZIP, 148, 10, 14.800000, 88, 105, 
trial0017675, 000600, AA, 118, 4, 29.500000, GDX, 82, 18, 4.555556, ZIP, 174, 10, 17.400000, 137, 141, 
trial0017676, 000600, AA, 97, 4, 24.250000, GDX, 178, 18, 9.888889, ZIP, 564, 10, 56.400000, 96, 104, 
trial0017677, 000600, AA, 227, 4, 56.750000, GDX, 398, 18, 22.111111, ZIP, 268, 10, 26.800000, 85, 93, 
trial0017678, 000600, AA, 106, 4, 26.500000, GDX, 308, 18, 17.111111, ZIP, 572, 10, 57.200000, 92, 100, 
trial0017679, 000600, AA, 189, 4, 47.250000, GDX, 433, 18, 24.055556, ZIP, 272, 10, 27.200000, 82, 103, 
trial0017680, 000600, AA, 0, 4, 0.000000, GDX, 224, 18, 12.444444, ZIP, 362, 10, 36.200000, 104, 127, 
trial0017681, 000600, AA, 125, 4, 31.250000, GDX, 954, 18, 53.000000, ZIP, 536, 10, 53.600000, 124, 131, 
trial0017682, 000600, AA, 302, 4, 75.500000, GDX, 534, 18, 29.666667, ZIP, 567, 10, 56.700000, 118, 121, 
trial0017683, 000600, AA, 28, 4, 7.000000, GDX, 281, 18, 15.611111, ZIP, 515, 10, 51.500000, 96, 128, 
trial0017684, 000600, AA, 318, 4, 79.500000, GDX, 551, 18, 30.611111, ZIP, 390, 10, 39.000000, 118, 146, 
trial0017685, 000600, AA, 83, 4, 20.750000, GDX, 1158, 18, 64.333333, ZIP, 670, 10, 67.000000, 104, 107, 
trial0017686, 000600, AA, 412, 4, 103.000000, GDX, 1097, 18, 60.944444, ZIP, 472, 10, 47.200000, 102, 140, 
trial0017687, 000600, AA, 159, 4, 39.750000, GDX, 946, 18, 52.555556, ZIP, 519, 10, 51.900000, 100, 114, 
trial0017688, 000600, AA, 101, 4, 25.250000, GDX, 525, 18, 29.166667, ZIP, 541, 10, 54.100000, 99, 104, 
trial0017689, 000600, AA, 247, 4, 61.750000, GDX, 446, 18, 24.777778, ZIP, 678, 10, 67.800000, 106, 108, 
trial0017690, 000600, AA, 507, 4, 126.750000, GDX, 579, 18, 32.166667, ZIP, 465, 10, 46.500000, 92, 96, 
trial0017691, 000600, AA, 433, 4, 108.250000, GDX, 549, 18, 30.500000, ZIP, 618, 10, 61.800000, 138, 139, 
trial0017692, 000600, AA, 214, 4, 53.500000, GDX, 892, 18, 49.555556, ZIP, 778, 10, 77.800000, 100, 104, 
trial0017693, 000600, AA, 119, 4, 29.750000, GDX, 581, 18, 32.277778, ZIP, 649, 10, 64.900000, 98, 115, 
trial0017694, 000600, AA, 218, 4, 54.500000, GDX, 702, 18, 39.000000, ZIP, 715, 10, 71.500000, 96, 115, 
trial0017695, 000600, AA, 20, 4, 5.000000, GDX, 527, 18, 29.277778, ZIP, 750, 10, 75.000000, 110, 122, 
trial0017696, 000600, AA, 304, 4, 76.000000, GDX, 366, 18, 20.333333, ZIP, 745, 10, 74.500000, 127, 132, 
trial0017697, 000600, AA, 195, 4, 48.750000, GDX, 264, 18, 14.666667, ZIP, 246, 10, 24.600000, 108, 110, 
trial0017698, 000600, AA, 78, 4, 19.500000, GDX, 350, 18, 19.444444, ZIP, 472, 10, 47.200000, N, 135, 
trial0017699, 000600, AA, 182, 4, 45.500000, GDX, 332, 18, 18.444444, ZIP, 815, 10, 81.500000, 120, 121, 
trial0017700, 000600, AA, 87, 4, 21.750000, GDX, 771, 18, 42.833333, ZIP, 1138, 10, 113.800000, 94, 110, 
trial0017701, 000600, AA, 235, 4, 58.750000, GDX, 417, 18, 23.166667, ZIP, 588, 10, 58.800000, 96, 99, 
trial0017702, 000600, AA, 239, 4, 59.750000, GDX, 657, 18, 36.500000, ZIP, 634, 10, 63.400000, 74, 94, 
trial0017703, 000600, AA, 232, 4, 58.000000, GDX, 719, 18, 39.944444, ZIP, 689, 10, 68.900000, 74, 77, 
trial0017704, 000600, AA, 179, 4, 44.750000, GDX, 916, 18, 50.888889, ZIP, 572, 10, 57.200000, 68, 80, 
trial0017705, 000600, AA, 81, 4, 20.250000, GDX, 744, 18, 41.333333, ZIP, 725, 10, 72.500000, 98, 115, 
trial0017706, 000600, AA, 489, 4, 122.250000, GDX, 488, 18, 27.111111, ZIP, 634, 10, 63.400000, 71, 94, 
trial0017707, 000600, AA, 54, 4, 13.500000, GDX, 211, 18, 11.722222, ZIP, 761, 10, 76.100000, 61, 73, 
trial0017708, 000600, AA, 93, 4, 23.250000, GDX, 304, 18, 16.888889, ZIP, 970, 10, 97.000000, 68, 78, 
trial0017709, 000600, AA, 403, 4, 100.750000, GDX, 505, 18, 28.055556, ZIP, 1031, 10, 103.100000, 76, 108, 
trial0017710, 000600, AA, 164, 4, 41.000000, GDX, 359, 18, 19.944444, ZIP, 657, 10, 65.700000, 69, 87, 
trial0017711, 000600, AA, 169, 4, 42.250000, GDX, 964, 18, 53.555556, ZIP, 326, 10, 32.600000, 100, 106, 
