trial0000103, AA, 4159, 14, 297.071429, GDX, 3132, 14, 223.714286, ZIP, 3969, 14, 283.500000, 
trial0000104, AA, 4458, 14, 318.428571, GDX, 2531, 14, 180.785714, ZIP, 4698, 14, 335.571429, 
trial0000105, AA, 4600, 14, 328.571429, GDX, 3840, 14, 274.285714, ZIP, 3394, 14, 242.428571, 
trial0000106, AA, 3421, 14, 244.357143, GDX, 3406, 14, 243.285714, ZIP, 4278, 14, 305.571429, 
trial0000107, AA, 5030, 14, 359.285714, GDX, 3240, 14, 231.428571, ZIP, 3621, 14, 258.642857, 
trial0000108, AA, 2668, 14, 190.571429, GDX, 4454, 14, 318.142857, ZIP, 4542, 14, 324.428571, 
trial0000109, AA, 4442, 14, 317.285714, GDX, 2985, 14, 213.214286, ZIP, 3143, 14, 224.500000, 
trial0000110, AA, 4561, 14, 325.785714, GDX, 2943, 14, 210.214286, ZIP, 3839, 14, 274.214286, 
trial0000111, AA, 5124, 14, 366.000000, GDX, 3578, 14, 255.571429, ZIP, 2945, 14, 210.357143, 
trial0000112, AA, 5295, 14, 378.214286, GDX, 2497, 14, 178.357143, ZIP, 3605, 14, 257.500000, 
trial0000113, AA, 4145, 14, 296.071429, GDX, 3204, 14, 228.857143, ZIP, 3878, 14, 277.000000, 
trial0000114, AA, 2970, 14, 212.142857, GDX, 4925, 14, 351.785714, ZIP, 3638, 14, 259.857143, 
trial0000115, AA, 5362, 14, 383.000000, GDX, 2995, 14, 213.928571, ZIP, 3363, 14, 240.214286, 
trial0000116, AA, 3309, 14, 236.357143, GDX, 4195, 14, 299.642857, ZIP, 4112, 14, 293.714286, 
trial0000117, AA, 3096, 14, 221.142857, GDX, 4485, 14, 320.357143, ZIP, 4197, 14, 299.785714, 
trial0000118, AA, 4517, 14, 322.642857, GDX, 2121, 14, 151.500000, ZIP, 4402, 14, 314.428571, 
trial0000119, AA, 5546, 14, 396.142857, GDX, 2772, 14, 198.000000, ZIP, 3189, 14, 227.785714, 
trial0000120, AA, 3326, 14, 237.571429, GDX, 4018, 14, 287.000000, ZIP, 4021, 14, 287.214286, 
trial0000121, AA, 5072, 14, 362.285714, GDX, 1784, 14, 127.428571, ZIP, 3878, 14, 277.000000, 
trial0000122, AA, 3361, 14, 240.071429, GDX, 3467, 14, 247.642857, ZIP, 4742, 14, 338.714286, 
trial0000123, AA, 5549, 14, 396.357143, GDX, 2961, 14, 211.500000, ZIP, 3031, 14, 216.500000, 
trial0000124, AA, 4052, 14, 289.428571, GDX, 2231, 14, 159.357143, ZIP, 4955, 14, 353.928571, 
trial0000125, AA, 3749, 14, 267.785714, GDX, 2353, 14, 168.071429, ZIP, 5909, 14, 422.071429, 
trial0000126, AA, 3132, 14, 223.714286, GDX, 4113, 14, 293.785714, ZIP, 4688, 14, 334.857143, 
trial0000127, AA, 5690, 14, 406.428571, GDX, 3892, 14, 278.000000, ZIP, 1801, 14, 128.642857, 
trial0000128, AA, 4133, 14, 295.214286, GDX, 3783, 14, 270.214286, ZIP, 3593, 14, 256.642857, 
trial0000129, AA, 3957, 14, 282.642857, GDX, 3396, 14, 242.571429, ZIP, 3565, 14, 254.642857, 
trial0000130, AA, 3855, 14, 275.357143, GDX, 3218, 14, 229.857143, ZIP, 4109, 14, 293.500000, 
trial0000131, AA, 3693, 14, 263.785714, GDX, 2575, 14, 183.928571, ZIP, 4461, 14, 318.642857, 
trial0000132, AA, 4734, 14, 338.142857, GDX, 2301, 14, 164.357143, ZIP, 4324, 14, 308.857143, 
trial0000133, AA, 3568, 14, 254.857143, GDX, 3831, 14, 273.642857, ZIP, 3454, 14, 246.714286, 
trial0000134, AA, 4672, 14, 333.714286, GDX, 2653, 14, 189.500000, ZIP, 3516, 14, 251.142857, 
trial0000135, AA, 3388, 14, 242.000000, GDX, 4460, 14, 318.571429, ZIP, 3684, 14, 263.142857, 
trial0000136, AA, 3067, 14, 219.071429, GDX, 3558, 14, 254.142857, ZIP, 4760, 14, 340.000000, 
trial0000137, AA, 5578, 14, 398.428571, GDX, 4500, 14, 321.428571, ZIP, 1954, 14, 139.571429, 
trial0000138, AA, 1008, 14, 72.000000, GDX, 4236, 14, 302.571429, ZIP, 6286, 14, 449.000000, 
trial0000139, AA, 4069, 14, 290.642857, GDX, 2341, 14, 167.214286, ZIP, 4861, 14, 347.214286, 
trial0000140, AA, 2135, 14, 152.500000, GDX, 3544, 14, 253.142857, ZIP, 5725, 14, 408.928571, 
trial0000141, AA, 5379, 14, 384.214286, GDX, 2726, 14, 194.714286, ZIP, 3658, 14, 261.285714, 
trial0000142, AA, 6533, 14, 466.642857, GDX, 2558, 14, 182.714286, ZIP, 2789, 14, 199.214286, 
trial0000143, AA, 4462, 14, 318.714286, GDX, 4790, 14, 342.142857, ZIP, 2319, 14, 165.642857, 
trial0000144, AA, 4351, 14, 310.785714, GDX, 2014, 14, 143.857143, ZIP, 5346, 14, 381.857143, 
trial0000145, AA, 3712, 14, 265.142857, GDX, 2646, 14, 189.000000, ZIP, 4669, 14, 333.500000, 
trial0000146, AA, 5392, 14, 385.142857, GDX, 4185, 14, 298.928571, ZIP, 1618, 14, 115.571429, 
trial0000147, AA, 5532, 14, 395.142857, GDX, 2963, 14, 211.642857, ZIP, 2995, 14, 213.928571, 
