trial0015224, AA, 2209, 30, 73.633333, GDX, 206, 2, 103.000000, 
trial0015225, AA, 2807, 30, 93.566667, GDX, 105, 2, 52.500000, 
trial0015226, AA, 2845, 30, 94.833333, GDX, 0, 2, 0.000000, 
trial0015227, AA, 2418, 30, 80.600000, GDX, 236, 2, 118.000000, 
trial0015228, AA, 2206, 30, 73.533333, GDX, 180, 2, 90.000000, 
trial0015229, AA, 3012, 30, 100.400000, GDX, 175, 2, 87.500000, 
trial0015230, AA, 2101, 30, 70.033333, GDX, 455, 2, 227.500000, 
trial0015231, AA, 2386, 30, 79.533333, GDX, 429, 2, 214.500000, 
trial0015232, AA, 3071, 30, 102.366667, GDX, 29, 2, 14.500000, 
trial0015233, AA, 3068, 30, 102.266667, GDX, 0, 2, 0.000000, 
trial0015234, AA, 2723, 30, 90.766667, GDX, 196, 2, 98.000000, 
trial0015235, AA, 3111, 30, 103.700000, GDX, 0, 2, 0.000000, 
trial0015236, AA, 2880, 30, 96.000000, GDX, 14, 2, 7.000000, 
trial0015237, AA, 2628, 30, 87.600000, GDX, 320, 2, 160.000000, 
trial0015238, AA, 2811, 30, 93.700000, GDX, 108, 2, 54.000000, 
trial0015239, AA, 3196, 30, 106.533333, GDX, 0, 2, 0.000000, 
trial0015240, AA, 3123, 30, 104.100000, GDX, 0, 2, 0.000000, 
trial0015241, AA, 995, 30, 33.166667, GDX, 0, 2, 0.000000, 
trial0015242, AA, 893, 30, 29.766667, GDX, 209, 2, 104.500000, 
trial0015243, AA, 662, 30, 22.066667, GDX, 166, 2, 83.000000, 
trial0015244, AA, 801, 30, 26.700000, GDX, 118, 2, 59.000000, 
trial0015245, AA, 842, 30, 28.066667, GDX, 62, 2, 31.000000, 
trial0015246, AA, 901, 30, 30.033333, GDX, 70, 2, 35.000000, 
trial0015247, AA, 814, 30, 27.133333, GDX, 185, 2, 92.500000, 
trial0015248, AA, 630, 30, 21.000000, GDX, 149, 2, 74.500000, 
trial0015249, AA, 424, 30, 14.133333, GDX, 158, 2, 79.000000, 
trial0015250, AA, 893, 30, 29.766667, GDX, 48, 2, 24.000000, 
trial0015251, AA, 998, 30, 33.266667, GDX, 72, 2, 36.000000, 
trial0015252, AA, 1042, 30, 34.733333, GDX, 12, 2, 6.000000, 
trial0015253, AA, 1320, 30, 44.000000, GDX, 143, 2, 71.500000, 
trial0015254, AA, 816, 30, 27.200000, GDX, 179, 2, 89.500000, 
trial0015255, AA, 501, 30, 16.700000, GDX, 259, 2, 129.500000, 
trial0015256, AA, 400, 30, 13.333333, GDX, 178, 2, 89.000000, 
trial0015257, AA, 813, 30, 27.100000, GDX, 190, 2, 95.000000, 
trial0015258, AA, 1009, 30, 33.633333, GDX, 8, 2, 4.000000, 
trial0015259, AA, 1058, 30, 35.266667, GDX, 70, 2, 35.000000, 
trial0015260, AA, 106, 30, 3.533333, GDX, 24, 2, 12.000000, 
trial0015261, AA, 1054, 30, 35.133333, GDX, 8, 2, 4.000000, 
trial0015262, AA, 821, 30, 27.366667, GDX, 170, 2, 85.000000, 
trial0015263, AA, 788, 30, 26.266667, GDX, 131, 2, 65.500000, 
trial0015264, AA, 971, 30, 32.366667, GDX, 19, 2, 9.500000, 
trial0015265, AA, 854, 30, 28.466667, GDX, 122, 2, 61.000000, 
trial0015266, AA, 892, 30, 29.733333, GDX, 3, 2, 1.500000, 
trial0015267, AA, 578, 30, 19.266667, GDX, 253, 2, 126.500000, 
trial0015268, AA, 961, 30, 32.033333, GDX, 47, 2, 23.500000, 
trial0015269, AA, 1015, 30, 33.833333, GDX, 12, 2, 6.000000, 
trial0015270, AA, 1045, 30, 34.833333, GDX, 37, 2, 18.500000, 
trial0015271, AA, 1703, 30, 56.766667, GDX, 68, 2, 34.000000, 
trial0015272, AA, 1516, 30, 50.533333, GDX, 110, 2, 55.000000, 
trial0015273, AA, 1885, 30, 62.833333, GDX, 214, 2, 107.000000, 
trial0015274, AA, 1849, 30, 61.633333, GDX, 139, 2, 69.500000, 
trial0015275, AA, 1934, 30, 64.466667, GDX, 73, 2, 36.500000, 
trial0015276, AA, 1978, 30, 65.933333, GDX, 19, 2, 9.500000, 
trial0015277, AA, 1639, 30, 54.633333, GDX, 30, 2, 15.000000, 
trial0015278, AA, 2085, 30, 69.500000, GDX, 0, 2, 0.000000, 
trial0015279, AA, 1720, 30, 57.333333, GDX, 25, 2, 12.500000, 
trial0015280, AA, 1856, 30, 61.866667, GDX, 201, 2, 100.500000, 
trial0015281, AA, 2116, 30, 70.533333, GDX, 0, 2, 0.000000, 
trial0015282, AA, 1683, 30, 56.100000, GDX, 166, 2, 83.000000, 
trial0015283, AA, 2066, 30, 68.866667, GDX, 46, 2, 23.000000, 
trial0015284, AA, 1726, 30, 57.533333, GDX, 0, 2, 0.000000, 
trial0015285, AA, 2127, 30, 70.900000, GDX, 0, 2, 0.000000, 
trial0015286, AA, 2067, 30, 68.900000, GDX, 120, 2, 60.000000, 
trial0015287, AA, 1482, 30, 49.400000, GDX, 361, 2, 180.500000, 
trial0015288, AA, 1108, 30, 36.933333, GDX, 350, 2, 175.000000, 
trial0015289, AA, 1871, 30, 62.366667, GDX, 141, 2, 70.500000, 
trial0015290, AA, 1791, 30, 59.700000, GDX, 35, 2, 17.500000, 
trial0015291, AA, 1919, 30, 63.966667, GDX, 0, 2, 0.000000, 
trial0015292, AA, 1514, 30, 50.466667, GDX, 84, 2, 42.000000, 
trial0015293, AA, 1163, 30, 38.766667, GDX, 190, 2, 95.000000, 
trial0015294, AA, 1740, 30, 58.000000, GDX, 266, 2, 133.000000, 
trial0015295, AA, 1266, 30, 42.200000, GDX, 178, 2, 89.000000, 
trial0015296, AA, 1319, 30, 43.966667, GDX, 114, 2, 57.000000, 
trial0015297, AA, 2044, 30, 68.133333, GDX, 5, 2, 2.500000, 
trial0015298, AA, 1586, 30, 52.866667, GDX, 326, 2, 163.000000, 
trial0015299, AA, 1425, 30, 47.500000, GDX, 199, 2, 99.500000, 
trial0015300, AA, 2046, 30, 68.200000, GDX, 82, 2, 41.000000, 
