trial0045197, AA, 10, 2, 5.000000, ZIP, 65, 30, 2.166667, 
trial0045198, AA, 0, 2, 0.000000, ZIP, 69, 30, 2.300000, 
trial0045199, AA, 0, 2, 0.000000, ZIP, 39, 30, 1.300000, 
trial0045200, AA, 0, 2, 0.000000, ZIP, 65, 30, 2.166667, 
trial0045201, AA, 0, 2, 0.000000, ZIP, 45, 30, 1.500000, 
trial0045202, AA, 0, 2, 0.000000, ZIP, 107, 30, 3.566667, 
trial0045203, AA, 0, 2, 0.000000, ZIP, 0, 30, 0.000000, 
trial0045204, AA, 3, 2, 1.500000, ZIP, 97, 30, 3.233333, 
trial0045205, AA, 0, 2, 0.000000, ZIP, 0, 30, 0.000000, 
trial0045206, AA, 10, 2, 5.000000, ZIP, 75, 30, 2.500000, 
trial0045207, AA, 0, 2, 0.000000, ZIP, 42, 30, 1.400000, 
trial0045208, AA, 0, 2, 0.000000, ZIP, 72, 30, 2.400000, 
trial0045209, AA, 25, 2, 12.500000, ZIP, 83, 30, 2.766667, 
trial0045210, AA, 0, 2, 0.000000, ZIP, 111, 30, 3.700000, 
trial0045211, AA, 0, 2, 0.000000, ZIP, 29, 30, 0.966667, 
trial0045212, AA, 0, 2, 0.000000, ZIP, 26, 30, 0.866667, 
trial0045213, AA, 0, 2, 0.000000, ZIP, 0, 30, 0.000000, 
trial0045214, AA, 0, 2, 0.000000, ZIP, 29, 30, 0.966667, 
trial0045215, AA, 0, 2, 0.000000, ZIP, 98, 30, 3.266667, 
trial0045216, AA, 4, 2, 2.000000, ZIP, 38, 30, 1.266667, 
trial0045217, AA, 24, 2, 12.000000, ZIP, 31, 30, 1.033333, 
trial0045218, AA, 9, 2, 4.500000, ZIP, 58, 30, 1.933333, 
trial0045219, AA, 0, 2, 0.000000, ZIP, 22, 30, 0.733333, 
trial0045220, AA, 17, 2, 8.500000, ZIP, 50, 30, 1.666667, 
trial0045221, AA, 7, 2, 3.500000, ZIP, 43, 30, 1.433333, 
trial0045222, AA, 17, 2, 8.500000, ZIP, 26, 30, 0.866667, 
trial0045223, AA, 12, 2, 6.000000, ZIP, 14, 30, 0.466667, 
trial0045224, AA, 0, 2, 0.000000, ZIP, 0, 30, 0.000000, 
trial0045225, AA, 22, 2, 11.000000, ZIP, 50, 30, 1.666667, 
trial0045226, AA, 0, 2, 0.000000, ZIP, 0, 30, 0.000000, 
trial0045227, AA, 0, 2, 0.000000, ZIP, 0, 30, 0.000000, 
trial0045228, AA, 11, 2, 5.500000, ZIP, 61, 30, 2.033333, 
trial0045229, AA, 0, 2, 0.000000, ZIP, 26, 30, 0.866667, 
trial0045230, AA, 0, 2, 0.000000, ZIP, 22, 30, 0.733333, 
trial0045231, AA, 13, 2, 6.500000, ZIP, 15, 30, 0.500000, 
trial0045232, AA, 3, 2, 1.500000, ZIP, 52, 30, 1.733333, 
trial0045233, AA, 0, 2, 0.000000, ZIP, 70, 30, 2.333333, 
trial0045234, AA, 2, 2, 1.000000, ZIP, 9, 30, 0.300000, 
trial0045235, AA, 8, 2, 4.000000, ZIP, 38, 30, 1.266667, 
trial0045236, AA, 0, 2, 0.000000, ZIP, 0, 30, 0.000000, 
trial0045237, AA, 7, 2, 3.500000, ZIP, 72, 30, 2.400000, 
trial0045238, AA, 0, 2, 0.000000, ZIP, 26, 30, 0.866667, 
trial0045239, AA, 0, 2, 0.000000, ZIP, 29, 30, 0.966667, 
trial0045240, AA, 8, 2, 4.000000, ZIP, 12, 30, 0.400000, 
trial0045241, AA, 30, 2, 15.000000, ZIP, 323, 30, 10.766667, 
trial0045242, AA, 24, 2, 12.000000, ZIP, 200, 30, 6.666667, 
trial0045243, AA, 19, 2, 9.500000, ZIP, 117, 30, 3.900000, 
trial0045244, AA, 0, 2, 0.000000, ZIP, 183, 30, 6.100000, 
trial0045245, AA, 0, 2, 0.000000, ZIP, 182, 30, 6.066667, 
trial0045246, AA, 23, 2, 11.500000, ZIP, 207, 30, 6.900000, 
trial0045247, AA, 0, 2, 0.000000, ZIP, 212, 30, 7.066667, 
trial0045248, AA, 39, 2, 19.500000, ZIP, 266, 30, 8.866667, 
trial0045249, AA, 17, 2, 8.500000, ZIP, 183, 30, 6.100000, 
trial0045250, AA, 0, 2, 0.000000, ZIP, 253, 30, 8.433333, 
trial0045251, AA, 0, 2, 0.000000, ZIP, 247, 30, 8.233333, 
trial0045252, AA, 0, 2, 0.000000, ZIP, 271, 30, 9.033333, 
trial0045253, AA, 45, 2, 22.500000, ZIP, 149, 30, 4.966667, 
trial0045254, AA, 37, 2, 18.500000, ZIP, 310, 30, 10.333333, 
trial0045255, AA, 0, 2, 0.000000, ZIP, 182, 30, 6.066667, 
trial0045256, AA, 40, 2, 20.000000, ZIP, 207, 30, 6.900000, 
trial0045257, AA, 0, 2, 0.000000, ZIP, 288, 30, 9.600000, 
trial0045258, AA, 36, 2, 18.000000, ZIP, 235, 30, 7.833333, 
trial0045259, AA, 21, 2, 10.500000, ZIP, 196, 30, 6.533333, 
trial0045260, AA, 6, 2, 3.000000, ZIP, 340, 30, 11.333333, 
trial0045261, AA, 13, 2, 6.500000, ZIP, 310, 30, 10.333333, 
trial0045262, AA, 23, 2, 11.500000, ZIP, 247, 30, 8.233333, 
trial0045263, AA, 12, 2, 6.000000, ZIP, 294, 30, 9.800000, 
trial0045264, AA, 65, 2, 32.500000, ZIP, 259, 30, 8.633333, 
trial0045265, AA, 4, 2, 2.000000, ZIP, 331, 30, 11.033333, 
trial0045266, AA, 0, 2, 0.000000, ZIP, 259, 30, 8.633333, 
trial0045267, AA, 28, 2, 14.000000, ZIP, 272, 30, 9.066667, 
trial0045268, AA, 51, 2, 25.500000, ZIP, 272, 30, 9.066667, 
trial0045269, AA, 41, 2, 20.500000, ZIP, 200, 30, 6.666667, 
trial0045270, AA, 0, 2, 0.000000, ZIP, 176, 30, 5.866667, 
trial0045271, AA, 0, 2, 0.000000, ZIP, 222, 30, 7.400000, 
trial0045272, AA, 47, 2, 23.500000, ZIP, 138, 30, 4.600000, 
trial0045273, AA, 0, 2, 0.000000, ZIP, 139, 30, 4.633333, 
trial0045274, AA, 5, 2, 2.500000, ZIP, 122, 30, 4.066667, 
trial0045275, AA, 59, 2, 29.500000, ZIP, 110, 30, 3.666667, 
trial0045276, AA, 0, 2, 0.000000, ZIP, 177, 30, 5.900000, 
trial0045277, AA, 47, 2, 23.500000, ZIP, 151, 30, 5.033333, 
trial0045278, AA, 18, 2, 9.000000, ZIP, 179, 30, 5.966667, 
trial0045279, AA, 40, 2, 20.000000, ZIP, 174, 30, 5.800000, 
trial0045280, AA, 0, 2, 0.000000, ZIP, 218, 30, 7.266667, 
trial0045281, AA, 0, 2, 0.000000, ZIP, 152, 30, 5.066667, 
trial0045282, AA, 53, 2, 26.500000, ZIP, 128, 30, 4.266667, 
trial0045283, AA, 0, 2, 0.000000, ZIP, 197, 30, 6.566667, 
trial0045284, AA, 33, 2, 16.500000, ZIP, 91, 30, 3.033333, 
trial0045285, AA, 0, 2, 0.000000, ZIP, 144, 30, 4.800000, 
trial0045286, AA, 17, 2, 8.500000, ZIP, 185, 30, 6.166667, 
trial0045287, AA, 0, 2, 0.000000, ZIP, 99, 30, 3.300000, 
trial0045288, AA, 0, 2, 0.000000, ZIP, 95, 30, 3.166667, 
trial0045289, AA, 11, 2, 5.500000, ZIP, 174, 30, 5.800000, 
trial0045290, AA, 0, 2, 0.000000, ZIP, 82, 30, 2.733333, 
trial0045291, AA, 41, 2, 20.500000, ZIP, 62, 30, 2.066667, 
trial0045292, AA, 24, 2, 12.000000, ZIP, 194, 30, 6.466667, 
trial0045293, AA, 13, 2, 6.500000, ZIP, 136, 30, 4.533333, 
trial0045294, AA, 0, 2, 0.000000, ZIP, 219, 30, 7.300000, 
trial0045295, AA, 9, 2, 4.500000, ZIP, 197, 30, 6.566667, 
trial0045296, AA, 0, 2, 0.000000, ZIP, 99, 30, 3.300000, 
trial0045297, AA, 0, 2, 0.000000, ZIP, 181, 30, 6.033333, 
trial0045298, AA, 16, 2, 8.000000, ZIP, 136, 30, 4.533333, 
trial0045299, AA, 0, 2, 0.000000, ZIP, 140, 30, 4.666667, 
trial0045300, AA, 35, 2, 17.500000, ZIP, 117, 30, 3.900000, 
