trial0035215, AA, 322, 8, 40.250000, GDX, 314, 10, 31.400000, ZIC, 569, 14, 40.642857, 
trial0035216, AA, 199, 8, 24.875000, GDX, 579, 10, 57.900000, ZIC, 375, 14, 26.785714, 
trial0035217, AA, 568, 8, 71.000000, GDX, 286, 10, 28.600000, ZIC, 745, 14, 53.214286, 
trial0035218, AA, 584, 8, 73.000000, GDX, 506, 10, 50.600000, ZIC, 393, 14, 28.071429, 
trial0035219, AA, 356, 8, 44.500000, GDX, 262, 10, 26.200000, ZIC, 679, 14, 48.500000, 
trial0035220, AA, 258, 8, 32.250000, GDX, 199, 10, 19.900000, ZIC, 629, 14, 44.928571, 
trial0035221, AA, 352, 8, 44.000000, GDX, 169, 10, 16.900000, ZIC, 160, 14, 11.428571, 
trial0035222, AA, 95, 8, 11.875000, GDX, 211, 10, 21.100000, ZIC, 550, 14, 39.285714, 
trial0035223, AA, 268, 8, 33.500000, GDX, 110, 10, 11.000000, ZIC, 170, 14, 12.142857, 
trial0035224, AA, 91, 8, 11.375000, GDX, 695, 10, 69.500000, ZIC, 172, 14, 12.285714, 
trial0035225, AA, 338, 8, 42.250000, GDX, 362, 10, 36.200000, ZIC, 158, 14, 11.285714, 
trial0035226, AA, 397, 8, 49.625000, GDX, 318, 10, 31.800000, ZIC, 206, 14, 14.714286, 
trial0035227, AA, 129, 8, 16.125000, GDX, 305, 10, 30.500000, ZIC, 376, 14, 26.857143, 
trial0035228, AA, 576, 8, 72.000000, GDX, 302, 10, 30.200000, ZIC, 238, 14, 17.000000, 
trial0035229, AA, 252, 8, 31.500000, GDX, 201, 10, 20.100000, ZIC, 333, 14, 23.785714, 
trial0035230, AA, 189, 8, 23.625000, GDX, 91, 10, 9.100000, ZIC, 278, 14, 19.857143, 
trial0035231, AA, 179, 8, 22.375000, GDX, 291, 10, 29.100000, ZIC, 535, 14, 38.214286, 
trial0035232, AA, 205, 8, 25.625000, GDX, 110, 10, 11.000000, ZIC, 246, 14, 17.571429, 
trial0035233, AA, 232, 8, 29.000000, GDX, 345, 10, 34.500000, ZIC, 433, 14, 30.928571, 
trial0035234, AA, 304, 8, 38.000000, GDX, 178, 10, 17.800000, ZIC, 472, 14, 33.714286, 
trial0035235, AA, 245, 8, 30.625000, GDX, 456, 10, 45.600000, ZIC, 389, 14, 27.785714, 
trial0035236, AA, 275, 8, 34.375000, GDX, 201, 10, 20.100000, ZIC, 449, 14, 32.071429, 
trial0035237, AA, 355, 8, 44.375000, GDX, 289, 10, 28.900000, ZIC, 118, 14, 8.428571, 
trial0035238, AA, 405, 8, 50.625000, GDX, 272, 10, 27.200000, ZIC, 417, 14, 29.785714, 
trial0035239, AA, 533, 8, 66.625000, GDX, 197, 10, 19.700000, ZIC, 318, 14, 22.714286, 
trial0035240, AA, 172, 8, 21.500000, GDX, 194, 10, 19.400000, ZIC, 585, 14, 41.785714, 
trial0035241, AA, 346, 8, 43.250000, GDX, 167, 10, 16.700000, ZIC, 439, 14, 31.357143, 
trial0035242, AA, 160, 8, 20.000000, GDX, 182, 10, 18.200000, ZIC, 465, 14, 33.214286, 
trial0035243, AA, 360, 8, 45.000000, GDX, 104, 10, 10.400000, ZIC, 383, 14, 27.357143, 
trial0035244, AA, 255, 8, 31.875000, GDX, 200, 10, 20.000000, ZIC, 450, 14, 32.142857, 
trial0035245, AA, 336, 8, 42.000000, GDX, 87, 10, 8.700000, ZIC, 447, 14, 31.928571, 
trial0035246, AA, 350, 8, 43.750000, GDX, 59, 10, 5.900000, ZIC, 443, 14, 31.642857, 
trial0035247, AA, 385, 8, 48.125000, GDX, 116, 10, 11.600000, ZIC, 123, 14, 8.785714, 
trial0035248, AA, 200, 8, 25.000000, GDX, 207, 10, 20.700000, ZIC, 465, 14, 33.214286, 
trial0035249, AA, 198, 8, 24.750000, GDX, 295, 10, 29.500000, ZIC, 326, 14, 23.285714, 
trial0035250, AA, 143, 8, 17.875000, GDX, 141, 10, 14.100000, ZIC, 315, 14, 22.500000, 
trial0035251, AA, 495, 8, 61.875000, GDX, 540, 10, 54.000000, ZIC, 1107, 14, 79.071429, 
trial0035252, AA, 458, 8, 57.250000, GDX, 953, 10, 95.300000, ZIC, 979, 14, 69.928571, 
trial0035253, AA, 816, 8, 102.000000, GDX, 697, 10, 69.700000, ZIC, 865, 14, 61.785714, 
trial0035254, AA, 192, 8, 24.000000, GDX, 887, 10, 88.700000, ZIC, 1110, 14, 79.285714, 
trial0035255, AA, 462, 8, 57.750000, GDX, 598, 10, 59.800000, ZIC, 1180, 14, 84.285714, 
trial0035256, AA, 272, 8, 34.000000, GDX, 841, 10, 84.100000, ZIC, 1151, 14, 82.214286, 
trial0035257, AA, 837, 8, 104.625000, GDX, 586, 10, 58.600000, ZIC, 905, 14, 64.642857, 
trial0035258, AA, 482, 8, 60.250000, GDX, 787, 10, 78.700000, ZIC, 1034, 14, 73.857143, 
trial0035259, AA, 358, 8, 44.750000, GDX, 707, 10, 70.700000, ZIC, 1213, 14, 86.642857, 
trial0035260, AA, 604, 8, 75.500000, GDX, 911, 10, 91.100000, ZIC, 831, 14, 59.357143, 
trial0035261, AA, 662, 8, 82.750000, GDX, 354, 10, 35.400000, ZIC, 1162, 14, 83.000000, 
trial0035262, AA, 732, 8, 91.500000, GDX, 575, 10, 57.500000, ZIC, 1071, 14, 76.500000, 
trial0035263, AA, 516, 8, 64.500000, GDX, 1018, 10, 101.800000, ZIC, 814, 14, 58.142857, 
trial0035264, AA, 563, 8, 70.375000, GDX, 762, 10, 76.200000, ZIC, 927, 14, 66.214286, 
trial0035265, AA, 979, 8, 122.375000, GDX, 578, 10, 57.800000, ZIC, 778, 14, 55.571429, 
trial0035266, AA, 853, 8, 106.625000, GDX, 677, 10, 67.700000, ZIC, 778, 14, 55.571429, 
trial0035267, AA, 815, 8, 101.875000, GDX, 587, 10, 58.700000, ZIC, 716, 14, 51.142857, 
trial0035268, AA, 613, 8, 76.625000, GDX, 624, 10, 62.400000, ZIC, 938, 14, 67.000000, 
trial0035269, AA, 321, 8, 40.125000, GDX, 752, 10, 75.200000, ZIC, 1243, 14, 88.785714, 
trial0035270, AA, 631, 8, 78.875000, GDX, 387, 10, 38.700000, ZIC, 1234, 14, 88.142857, 
trial0035271, AA, 1076, 8, 134.500000, GDX, 493, 10, 49.300000, ZIC, 671, 14, 47.928571, 
trial0035272, AA, 176, 8, 22.000000, GDX, 1023, 10, 102.300000, ZIC, 1002, 14, 71.571429, 
trial0035273, AA, 926, 8, 115.750000, GDX, 467, 10, 46.700000, ZIC, 821, 14, 58.642857, 
trial0035274, AA, 582, 8, 72.750000, GDX, 641, 10, 64.100000, ZIC, 1049, 14, 74.928571, 
trial0035275, AA, 499, 8, 62.375000, GDX, 749, 10, 74.900000, ZIC, 1005, 14, 71.785714, 
trial0035276, AA, 615, 8, 76.875000, GDX, 715, 10, 71.500000, ZIC, 1009, 14, 72.071429, 
trial0035277, AA, 175, 8, 21.875000, GDX, 663, 10, 66.300000, ZIC, 1203, 14, 85.928571, 
trial0035278, AA, 391, 8, 48.875000, GDX, 529, 10, 52.900000, ZIC, 1420, 14, 101.428571, 
trial0035279, AA, 1239, 8, 154.875000, GDX, 503, 10, 50.300000, ZIC, 582, 14, 41.571429, 
trial0035280, AA, 684, 8, 85.500000, GDX, 668, 10, 66.800000, ZIC, 914, 14, 65.285714, 
trial0035281, AA, 303, 8, 37.875000, GDX, 378, 10, 37.800000, ZIC, 701, 14, 50.071429, 
trial0035282, AA, 770, 8, 96.250000, GDX, 238, 10, 23.800000, ZIC, 565, 14, 40.357143, 
trial0035283, AA, 294, 8, 36.750000, GDX, 180, 10, 18.000000, ZIC, 988, 14, 70.571429, 
trial0035284, AA, 60, 8, 7.500000, GDX, 489, 10, 48.900000, ZIC, 865, 14, 61.785714, 
trial0035285, AA, 183, 8, 22.875000, GDX, 502, 10, 50.200000, ZIC, 818, 14, 58.428571, 
trial0035286, AA, 511, 8, 63.875000, GDX, 160, 10, 16.000000, ZIC, 980, 14, 70.000000, 
trial0035287, AA, 520, 8, 65.000000, GDX, 235, 10, 23.500000, ZIC, 1062, 14, 75.857143, 
trial0035288, AA, 637, 8, 79.625000, GDX, 394, 10, 39.400000, ZIC, 688, 14, 49.142857, 
trial0035289, AA, 691, 8, 86.375000, GDX, 555, 10, 55.500000, ZIC, 341, 14, 24.357143, 
trial0035290, AA, 489, 8, 61.125000, GDX, 386, 10, 38.600000, ZIC, 289, 14, 20.642857, 
trial0035291, AA, 318, 8, 39.750000, GDX, 341, 10, 34.100000, ZIC, 1020, 14, 72.857143, 
trial0035292, AA, 206, 8, 25.750000, GDX, 476, 10, 47.600000, ZIC, 769, 14, 54.928571, 
trial0035293, AA, 350, 8, 43.750000, GDX, 546, 10, 54.600000, ZIC, 650, 14, 46.428571, 
trial0035294, AA, 770, 8, 96.250000, GDX, 360, 10, 36.000000, ZIC, 844, 14, 60.285714, 
trial0035295, AA, 738, 8, 92.250000, GDX, 440, 10, 44.000000, ZIC, 554, 14, 39.571429, 
trial0035296, AA, 376, 8, 47.000000, GDX, 553, 10, 55.300000, ZIC, 525, 14, 37.500000, 
trial0035297, AA, 371, 8, 46.375000, GDX, 409, 10, 40.900000, ZIC, 1130, 14, 80.714286, 
trial0035298, AA, 701, 8, 87.625000, GDX, 371, 10, 37.100000, ZIC, 379, 14, 27.071429, 
trial0035299, AA, 375, 8, 46.875000, GDX, 822, 10, 82.200000, ZIC, 657, 14, 46.928571, 
trial0035300, AA, 531, 8, 66.375000, GDX, 470, 10, 47.000000, ZIC, 475, 14, 33.928571, 
trial0035301, AA, 404, 8, 50.500000, GDX, 497, 10, 49.700000, ZIC, 1023, 14, 73.071429, 
trial0035302, AA, 381, 8, 47.625000, GDX, 658, 10, 65.800000, ZIC, 884, 14, 63.142857, 
trial0035303, AA, 202, 8, 25.250000, GDX, 665, 10, 66.500000, ZIC, 1093, 14, 78.071429, 
trial0035304, AA, 371, 8, 46.375000, GDX, 285, 10, 28.500000, ZIC, 1031, 14, 73.642857, 
trial0035305, AA, 678, 8, 84.750000, GDX, 544, 10, 54.400000, ZIC, 368, 14, 26.285714, 
trial0035306, AA, 654, 8, 81.750000, GDX, 662, 10, 66.200000, ZIC, 619, 14, 44.214286, 
trial0035307, AA, 289, 8, 36.125000, GDX, 724, 10, 72.400000, ZIC, 780, 14, 55.714286, 
trial0035308, AA, 699, 8, 87.375000, GDX, 671, 10, 67.100000, ZIC, 493, 14, 35.214286, 
trial0035309, AA, 588, 8, 73.500000, GDX, 422, 10, 42.200000, ZIC, 644, 14, 46.000000, 
trial0035310, AA, 771, 8, 96.375000, GDX, 491, 10, 49.100000, ZIC, 584, 14, 41.714286, 
trial0035311, AA, 167, 8, 20.875000, GDX, 208, 10, 20.800000, ZIC, 373, 14, 26.642857, 
trial0035312, AA, 450, 8, 56.250000, GDX, 259, 10, 25.900000, ZIC, 56, 14, 4.000000, 
trial0035313, AA, 404, 8, 50.500000, GDX, 136, 10, 13.600000, ZIC, 205, 14, 14.642857, 
trial0035314, AA, 21, 8, 2.625000, GDX, 120, 10, 12.000000, ZIC, 471, 14, 33.642857, 
trial0035315, AA, 236, 8, 29.500000, GDX, 310, 10, 31.000000, ZIC, 107, 14, 7.642857, 
trial0035316, AA, 236, 8, 29.500000, GDX, 206, 10, 20.600000, ZIC, 174, 14, 12.428571, 
trial0035317, AA, 274, 8, 34.250000, GDX, 208, 10, 20.800000, ZIC, 312, 14, 22.285714, 
trial0035318, AA, 103, 8, 12.875000, GDX, 195, 10, 19.500000, ZIC, 473, 14, 33.785714, 
trial0035319, AA, 140, 8, 17.500000, GDX, 257, 10, 25.700000, ZIC, 227, 14, 16.214286, 
trial0035320, AA, 223, 8, 27.875000, GDX, 72, 10, 7.200000, ZIC, 237, 14, 16.928571, 
trial0035321, AA, 217, 8, 27.125000, GDX, 142, 10, 14.200000, ZIC, 242, 14, 17.285714, 
trial0035322, AA, 242, 8, 30.250000, GDX, 194, 10, 19.400000, ZIC, 134, 14, 9.571429, 
trial0035323, AA, 244, 8, 30.500000, GDX, 157, 10, 15.700000, ZIC, 295, 14, 21.071429, 
trial0035324, AA, 233, 8, 29.125000, GDX, 193, 10, 19.300000, ZIC, 364, 14, 26.000000, 
trial0035325, AA, 179, 8, 22.375000, GDX, 77, 10, 7.700000, ZIC, 387, 14, 27.642857, 
trial0035326, AA, 156, 8, 19.500000, GDX, 257, 10, 25.700000, ZIC, 248, 14, 17.714286, 
trial0035327, AA, 437, 8, 54.625000, GDX, 72, 10, 7.200000, ZIC, 115, 14, 8.214286, 
trial0035328, AA, 181, 8, 22.625000, GDX, 314, 10, 31.400000, ZIC, 293, 14, 20.928571, 
trial0035329, AA, 271, 8, 33.875000, GDX, 151, 10, 15.100000, ZIC, 349, 14, 24.928571, 
trial0035330, AA, 109, 8, 13.625000, GDX, 66, 10, 6.600000, ZIC, 326, 14, 23.285714, 
trial0035331, AA, 410, 8, 51.250000, GDX, 71, 10, 7.100000, ZIC, 338, 14, 24.142857, 
trial0035332, AA, 116, 8, 14.500000, GDX, 332, 10, 33.200000, ZIC, 217, 14, 15.500000, 
trial0035333, AA, 251, 8, 31.375000, GDX, 163, 10, 16.300000, ZIC, 273, 14, 19.500000, 
trial0035334, AA, 185, 8, 23.125000, GDX, 217, 10, 21.700000, ZIC, 227, 14, 16.214286, 
trial0035335, AA, 168, 8, 21.000000, GDX, 199, 10, 19.900000, ZIC, 305, 14, 21.785714, 
trial0035336, AA, 217, 8, 27.125000, GDX, 234, 10, 23.400000, ZIC, 233, 14, 16.642857, 
trial0035337, AA, 119, 8, 14.875000, GDX, 173, 10, 17.300000, ZIC, 295, 14, 21.071429, 
trial0035338, AA, 178, 8, 22.250000, GDX, 24, 10, 2.400000, ZIC, 426, 14, 30.428571, 
trial0035339, AA, 186, 8, 23.250000, GDX, 245, 10, 24.500000, ZIC, 152, 14, 10.857143, 
trial0035340, AA, 119, 8, 14.875000, GDX, 232, 10, 23.200000, ZIC, 296, 14, 21.142857, 
trial0035341, AA, 203, 8, 25.375000, GDX, 11, 10, 1.100000, ZIC, 261, 14, 18.642857, 
trial0035342, AA, 284, 8, 35.500000, GDX, 92, 10, 9.200000, ZIC, 187, 14, 13.357143, 
trial0035343, AA, 262, 8, 32.750000, GDX, 117, 10, 11.700000, ZIC, 170, 14, 12.142857, 
trial0035344, AA, 135, 8, 16.875000, GDX, 208, 10, 20.800000, ZIC, 277, 14, 19.785714, 
trial0035345, AA, 135, 8, 16.875000, GDX, 82, 10, 8.200000, ZIC, 147, 14, 10.500000, 
trial0035346, AA, 143, 8, 17.875000, GDX, 277, 10, 27.700000, ZIC, 242, 14, 17.285714, 
trial0035347, AA, 238, 8, 29.750000, GDX, 259, 10, 25.900000, ZIC, 348, 14, 24.857143, 
trial0035348, AA, 340, 8, 42.500000, GDX, 143, 10, 14.300000, ZIC, 288, 14, 20.571429, 
