trial0033700, AA, 259, 22, 11.772727, GDX, 7, 2, 3.500000, ZIP, 5, 8, 0.625000, 
trial0033701, AA, 235, 22, 10.681818, GDX, 12, 2, 6.000000, ZIP, 84, 8, 10.500000, 
trial0033702, AA, 197, 22, 8.954545, GDX, 64, 2, 32.000000, ZIP, 23, 8, 2.875000, 
trial0033703, AA, 241, 22, 10.954545, GDX, 0, 2, 0.000000, ZIP, 146, 8, 18.250000, 
trial0033704, AA, 148, 22, 6.727273, GDX, 32, 2, 16.000000, ZIP, 80, 8, 10.000000, 
trial0033705, AA, 186, 22, 8.454545, GDX, 5, 2, 2.500000, ZIP, 276, 8, 34.500000, 
trial0033706, AA, 204, 22, 9.272727, GDX, 18, 2, 9.000000, ZIP, 150, 8, 18.750000, 
trial0033707, AA, 263, 22, 11.954545, GDX, 43, 2, 21.500000, ZIP, 0, 8, 0.000000, 
trial0033708, AA, 208, 22, 9.454545, GDX, 23, 2, 11.500000, ZIP, 43, 8, 5.375000, 
trial0033709, AA, 169, 22, 7.681818, GDX, 0, 2, 0.000000, ZIP, 130, 8, 16.250000, 
trial0033710, AA, 216, 22, 9.818182, GDX, 24, 2, 12.000000, ZIP, 73, 8, 9.125000, 
trial0033711, AA, 222, 22, 10.090909, GDX, 39, 2, 19.500000, ZIP, 144, 8, 18.000000, 
trial0033712, AA, 189, 22, 8.590909, GDX, 12, 2, 6.000000, ZIP, 134, 8, 16.750000, 
trial0033713, AA, 71, 22, 3.227273, GDX, 52, 2, 26.000000, ZIP, 208, 8, 26.000000, 
trial0033714, AA, 274, 22, 12.454545, GDX, 33, 2, 16.500000, ZIP, 142, 8, 17.750000, 
trial0033715, AA, 227, 22, 10.318182, GDX, 57, 2, 28.500000, ZIP, 129, 8, 16.125000, 
trial0033716, AA, 230, 22, 10.454545, GDX, 0, 2, 0.000000, ZIP, 98, 8, 12.250000, 
trial0033717, AA, 251, 22, 11.409091, GDX, 4, 2, 2.000000, ZIP, 65, 8, 8.125000, 
trial0033718, AA, 191, 22, 8.681818, GDX, 0, 2, 0.000000, ZIP, 93, 8, 11.625000, 
trial0033719, AA, 265, 22, 12.045455, GDX, 64, 2, 32.000000, ZIP, 195, 8, 24.375000, 
trial0033720, AA, 210, 22, 9.545455, GDX, 0, 2, 0.000000, ZIP, 189, 8, 23.625000, 
trial0033721, AA, 298, 22, 13.545455, GDX, 46, 2, 23.000000, ZIP, 209, 8, 26.125000, 
trial0033722, AA, 365, 22, 16.590909, GDX, 42, 2, 21.000000, ZIP, 109, 8, 13.625000, 
trial0033723, AA, 283, 22, 12.863636, GDX, 53, 2, 26.500000, ZIP, 178, 8, 22.250000, 
trial0033724, AA, 336, 22, 15.272727, GDX, 52, 2, 26.000000, ZIP, 207, 8, 25.875000, 
trial0033725, AA, 374, 22, 17.000000, GDX, 38, 2, 19.000000, ZIP, 152, 8, 19.000000, 
trial0033726, AA, 299, 22, 13.590909, GDX, 20, 2, 10.000000, ZIP, 204, 8, 25.500000, 
trial0033727, AA, 443, 22, 20.136364, GDX, 0, 2, 0.000000, ZIP, 140, 8, 17.500000, 
trial0033728, AA, 386, 22, 17.545455, GDX, 28, 2, 14.000000, ZIP, 27, 8, 3.375000, 
trial0033729, AA, 367, 22, 16.681818, GDX, 8, 2, 4.000000, ZIP, 114, 8, 14.250000, 
trial0033730, AA, 256, 22, 11.636364, GDX, 52, 2, 26.000000, ZIP, 160, 8, 20.000000, 
trial0033731, AA, 415, 22, 18.863636, GDX, 0, 2, 0.000000, ZIP, 108, 8, 13.500000, 
trial0033732, AA, 359, 22, 16.318182, GDX, 29, 2, 14.500000, ZIP, 92, 8, 11.500000, 
trial0033733, AA, 422, 22, 19.181818, GDX, 10, 2, 5.000000, ZIP, 50, 8, 6.250000, 
trial0033734, AA, 363, 22, 16.500000, GDX, 0, 2, 0.000000, ZIP, 269, 8, 33.625000, 
trial0033735, AA, 427, 22, 19.409091, GDX, 0, 2, 0.000000, ZIP, 51, 8, 6.375000, 
trial0033736, AA, 311, 22, 14.136364, GDX, 20, 2, 10.000000, ZIP, 172, 8, 21.500000, 
trial0033737, AA, 308, 22, 14.000000, GDX, 9, 2, 4.500000, ZIP, 74, 8, 9.250000, 
trial0033738, AA, 379, 22, 17.227273, GDX, 0, 2, 0.000000, ZIP, 134, 8, 16.750000, 
trial0033739, AA, 413, 22, 18.772727, GDX, 6, 2, 3.000000, ZIP, 45, 8, 5.625000, 
trial0033740, AA, 295, 22, 13.409091, GDX, 43, 2, 21.500000, ZIP, 122, 8, 15.250000, 
trial0033741, AA, 321, 22, 14.590909, GDX, 43, 2, 21.500000, ZIP, 302, 8, 37.750000, 
trial0033742, AA, 394, 22, 17.909091, GDX, 5, 2, 2.500000, ZIP, 31, 8, 3.875000, 
trial0033743, AA, 413, 22, 18.772727, GDX, 40, 2, 20.000000, ZIP, 107, 8, 13.375000, 
trial0033744, AA, 343, 22, 15.590909, GDX, 15, 2, 7.500000, ZIP, 78, 8, 9.750000, 
trial0033745, AA, 335, 22, 15.227273, GDX, 20, 2, 10.000000, ZIP, 182, 8, 22.750000, 
trial0033746, AA, 396, 22, 18.000000, GDX, 3, 2, 1.500000, ZIP, 42, 8, 5.250000, 
trial0033747, AA, 355, 22, 16.136364, GDX, 0, 2, 0.000000, ZIP, 233, 8, 29.125000, 
trial0033748, AA, 396, 22, 18.000000, GDX, 0, 2, 0.000000, ZIP, 166, 8, 20.750000, 
trial0033749, AA, 332, 22, 15.090909, GDX, 4, 2, 2.000000, ZIP, 125, 8, 15.625000, 
trial0033750, AA, 357, 22, 16.227273, GDX, 14, 2, 7.000000, ZIP, 196, 8, 24.500000, 
trial0033751, AA, 953, 22, 43.318182, GDX, 206, 2, 103.000000, ZIP, 459, 8, 57.375000, 
trial0033752, AA, 652, 22, 29.636364, GDX, 150, 2, 75.000000, ZIP, 795, 8, 99.375000, 
trial0033753, AA, 719, 22, 32.681818, GDX, 252, 2, 126.000000, ZIP, 646, 8, 80.750000, 
trial0033754, AA, 1192, 22, 54.181818, GDX, 112, 2, 56.000000, ZIP, 314, 8, 39.250000, 
trial0033755, AA, 729, 22, 33.136364, GDX, 59, 2, 29.500000, ZIP, 540, 8, 67.500000, 
trial0033756, AA, 880, 22, 40.000000, GDX, 9, 2, 4.500000, ZIP, 532, 8, 66.500000, 
trial0033757, AA, 890, 22, 40.454545, GDX, 51, 2, 25.500000, ZIP, 578, 8, 72.250000, 
trial0033758, AA, 1181, 22, 53.681818, GDX, 93, 2, 46.500000, ZIP, 198, 8, 24.750000, 
trial0033759, AA, 1429, 22, 64.954545, GDX, 1, 2, 0.500000, ZIP, 97, 8, 12.125000, 
trial0033760, AA, 1194, 22, 54.272727, GDX, 79, 2, 39.500000, ZIP, 251, 8, 31.375000, 
trial0033761, AA, 1199, 22, 54.500000, GDX, 0, 2, 0.000000, ZIP, 443, 8, 55.375000, 
trial0033762, AA, 836, 22, 38.000000, GDX, 172, 2, 86.000000, ZIP, 476, 8, 59.500000, 
trial0033763, AA, 968, 22, 44.000000, GDX, 43, 2, 21.500000, ZIP, 411, 8, 51.375000, 
trial0033764, AA, 1111, 22, 50.500000, GDX, 84, 2, 42.000000, ZIP, 278, 8, 34.750000, 
trial0033765, AA, 1174, 22, 53.363636, GDX, 0, 2, 0.000000, ZIP, 296, 8, 37.000000, 
trial0033766, AA, 1055, 22, 47.954545, GDX, 35, 2, 17.500000, ZIP, 331, 8, 41.375000, 
trial0033767, AA, 1122, 22, 51.000000, GDX, 12, 2, 6.000000, ZIP, 453, 8, 56.625000, 
trial0033768, AA, 1131, 22, 51.409091, GDX, 0, 2, 0.000000, ZIP, 357, 8, 44.625000, 
trial0033769, AA, 1229, 22, 55.863636, GDX, 54, 2, 27.000000, ZIP, 309, 8, 38.625000, 
trial0033770, AA, 851, 22, 38.681818, GDX, 258, 2, 129.000000, ZIP, 509, 8, 63.625000, 
trial0033771, AA, 1215, 22, 55.227273, GDX, 78, 2, 39.000000, ZIP, 308, 8, 38.500000, 
trial0033772, AA, 1088, 22, 49.454545, GDX, 78, 2, 39.000000, ZIP, 182, 8, 22.750000, 
trial0033773, AA, 904, 22, 41.090909, GDX, 87, 2, 43.500000, ZIP, 431, 8, 53.875000, 
trial0033774, AA, 932, 22, 42.363636, GDX, 0, 2, 0.000000, ZIP, 558, 8, 69.750000, 
trial0033775, AA, 1107, 22, 50.318182, GDX, 94, 2, 47.000000, ZIP, 409, 8, 51.125000, 
trial0033776, AA, 1282, 22, 58.272727, GDX, 0, 2, 0.000000, ZIP, 254, 8, 31.750000, 
trial0033777, AA, 899, 22, 40.863636, GDX, 271, 2, 135.500000, ZIP, 376, 8, 47.000000, 
trial0033778, AA, 856, 22, 38.909091, GDX, 100, 2, 50.000000, ZIP, 465, 8, 58.125000, 
trial0033779, AA, 1007, 22, 45.772727, GDX, 0, 2, 0.000000, ZIP, 390, 8, 48.750000, 
trial0033780, AA, 1170, 22, 53.181818, GDX, 0, 2, 0.000000, ZIP, 422, 8, 52.750000, 
trial0033781, AA, 684, 22, 31.090909, GDX, 65, 2, 32.500000, ZIP, 584, 8, 73.000000, 
trial0033782, AA, 922, 22, 41.909091, GDX, 272, 2, 136.000000, ZIP, 155, 8, 19.375000, 
trial0033783, AA, 871, 22, 39.590909, GDX, 9, 2, 4.500000, ZIP, 413, 8, 51.625000, 
trial0033784, AA, 964, 22, 43.818182, GDX, 121, 2, 60.500000, ZIP, 233, 8, 29.125000, 
