trial0000218, AA, 6574, 38, 173.000000, ZIC, 257, 2, 128.500000, 
trial0000219, AA, 6056, 38, 159.368421, ZIC, 731, 2, 365.500000, 
trial0000220, AA, 7079, 38, 186.289474, ZIC, 0, 2, 0.000000, 
trial0000221, AA, 6422, 38, 169.000000, ZIC, 383, 2, 191.500000, 
trial0000222, AA, 6900, 38, 181.578947, ZIC, 9, 2, 4.500000, 
trial0000223, AA, 7092, 38, 186.631579, ZIC, 0, 2, 0.000000, 
trial0000224, AA, 6967, 38, 183.342105, ZIC, 68, 2, 34.000000, 
trial0000225, AA, 6035, 38, 158.815789, ZIC, 487, 2, 243.500000, 
trial0000226, AA, 6682, 38, 175.842105, ZIC, 193, 2, 96.500000, 
trial0000227, AA, 6240, 38, 164.210526, ZIC, 646, 2, 323.000000, 
trial0000228, AA, 6723, 38, 176.921053, ZIC, 237, 2, 118.500000, 
trial0000229, AA, 6457, 38, 169.921053, ZIC, 333, 2, 166.500000, 
trial0000230, AA, 6659, 38, 175.236842, ZIC, 177, 2, 88.500000, 
trial0000231, AA, 5947, 38, 156.500000, ZIC, 1074, 2, 537.000000, 
trial0000232, AA, 6652, 38, 175.052632, ZIC, 330, 2, 165.000000, 
trial0000233, AA, 6491, 38, 170.815789, ZIC, 375, 2, 187.500000, 
trial0000234, AA, 6879, 38, 181.026316, ZIC, 25, 2, 12.500000, 
trial0000235, AA, 7072, 38, 186.105263, ZIC, 0, 2, 0.000000, 
trial0000236, AA, 6646, 38, 174.894737, ZIC, 175, 2, 87.500000, 
trial0000237, AA, 6231, 38, 163.973684, ZIC, 380, 2, 190.000000, 
trial0000238, AA, 6474, 38, 170.368421, ZIC, 325, 2, 162.500000, 
trial0000239, AA, 6988, 38, 183.894737, ZIC, 0, 2, 0.000000, 
trial0000240, AA, 7099, 38, 186.815789, ZIC, 0, 2, 0.000000, 
trial0000241, AA, 6414, 38, 168.789474, ZIC, 607, 2, 303.500000, 
trial0000242, AA, 6836, 38, 179.894737, ZIC, 99, 2, 49.500000, 
trial0000243, AA, 6683, 38, 175.868421, ZIC, 123, 2, 61.500000, 
trial0000244, AA, 6658, 38, 175.210526, ZIC, 66, 2, 33.000000, 
trial0000245, AA, 6689, 38, 176.026316, ZIC, 92, 2, 46.000000, 
trial0000246, AA, 6741, 38, 177.394737, ZIC, 293, 2, 146.500000, 
trial0000247, AA, 6752, 38, 177.684211, ZIC, 161, 2, 80.500000, 
trial0000248, AA, 6638, 38, 174.684211, ZIC, 68, 2, 34.000000, 
trial0000249, AA, 6949, 38, 182.868421, ZIC, 21, 2, 10.500000, 
trial0000250, AA, 6391, 38, 168.184211, ZIC, 539, 2, 269.500000, 
trial0000251, AA, 6382, 38, 167.947368, ZIC, 142, 2, 71.000000, 
trial0000252, AA, 6465, 38, 170.131579, ZIC, 304, 2, 152.000000, 
trial0000253, AA, 6170, 38, 162.368421, ZIC, 706, 2, 353.000000, 
trial0000254, AA, 7107, 38, 187.026316, ZIC, 3, 2, 1.500000, 
trial0000255, AA, 6592, 38, 173.473684, ZIC, 296, 2, 148.000000, 
trial0000256, AA, 7028, 38, 184.947368, ZIC, 0, 2, 0.000000, 
trial0000257, AA, 6929, 38, 182.342105, ZIC, 168, 2, 84.000000, 
trial0000258, AA, 6899, 38, 181.552632, ZIC, 0, 2, 0.000000, 
trial0000259, AA, 6224, 38, 163.789474, ZIC, 324, 2, 162.000000, 
trial0000260, AA, 6185, 38, 162.763158, ZIC, 730, 2, 365.000000, 
trial0000261, AA, 6761, 38, 177.921053, ZIC, 303, 2, 151.500000, 
trial0000262, AA, 6808, 38, 179.157895, ZIC, 47, 2, 23.500000, 
trial0000263, AA, 6980, 38, 183.684211, ZIC, 74, 2, 37.000000, 
trial0000264, AA, 6378, 38, 167.842105, ZIC, 426, 2, 213.000000, 
trial0000265, AA, 6480, 38, 170.526316, ZIC, 269, 2, 134.500000, 
trial0000266, AA, 6104, 38, 160.631579, ZIC, 631, 2, 315.500000, 
trial0000267, AA, 6751, 38, 177.657895, ZIC, 191, 2, 95.500000, 
trial0000268, AA, 6762, 38, 177.947368, ZIC, 55, 2, 27.500000, 
trial0000269, AA, 6376, 38, 167.789474, ZIC, 398, 2, 199.000000, 
trial0000270, AA, 6455, 38, 169.868421, ZIC, 519, 2, 259.500000, 
trial0000271, AA, 6557, 38, 172.552632, ZIC, 580, 2, 290.000000, 
trial0000272, AA, 6631, 38, 174.500000, ZIC, 196, 2, 98.000000, 
trial0000273, AA, 6345, 38, 166.973684, ZIC, 584, 2, 292.000000, 
trial0000274, AA, 6386, 38, 168.052632, ZIC, 485, 2, 242.500000, 
trial0000275, AA, 6872, 38, 180.842105, ZIC, 292, 2, 146.000000, 
trial0000276, AA, 6653, 38, 175.078947, ZIC, 335, 2, 167.500000, 
trial0000277, AA, 6102, 38, 160.578947, ZIC, 521, 2, 260.500000, 
trial0000278, AA, 6623, 38, 174.289474, ZIC, 503, 2, 251.500000, 
trial0000279, AA, 6481, 38, 170.552632, ZIC, 231, 2, 115.500000, 
trial0000280, AA, 6715, 38, 176.710526, ZIC, 139, 2, 69.500000, 
trial0000281, AA, 6652, 38, 175.052632, ZIC, 192, 2, 96.000000, 
trial0000282, AA, 7102, 38, 186.894737, ZIC, 0, 2, 0.000000, 
trial0000283, AA, 7085, 38, 186.447368, ZIC, 9, 2, 4.500000, 
trial0000284, AA, 6743, 38, 177.447368, ZIC, 428, 2, 214.000000, 
trial0000285, AA, 6554, 38, 172.473684, ZIC, 376, 2, 188.000000, 
trial0000286, AA, 6327, 38, 166.500000, ZIC, 602, 2, 301.000000, 
trial0000287, AA, 6621, 38, 174.236842, ZIC, 354, 2, 177.000000, 
trial0000288, AA, 7054, 38, 185.631579, ZIC, 2, 2, 1.000000, 
trial0000289, AA, 6872, 38, 180.842105, ZIC, 49, 2, 24.500000, 
trial0000290, AA, 6395, 38, 168.289474, ZIC, 618, 2, 309.000000, 
