trial0001193, AA, 3997, 20, 199.850000, ZIP, 4679, 20, 233.950000, 
trial0001194, AA, 3958, 20, 197.900000, ZIP, 4881, 20, 244.050000, 
trial0001195, AA, 4149, 20, 207.450000, ZIP, 4720, 20, 236.000000, 
trial0001196, AA, 4444, 20, 222.200000, ZIP, 4364, 20, 218.200000, 
trial0001197, AA, 5403, 20, 270.150000, ZIP, 3561, 20, 178.050000, 
trial0001198, AA, 3926, 20, 196.300000, ZIP, 5118, 20, 255.900000, 
trial0001199, AA, 2881, 20, 144.050000, ZIP, 6119, 20, 305.950000, 
trial0001200, AA, 4609, 20, 230.450000, ZIP, 4509, 20, 225.450000, 
trial0001201, AA, 3816, 20, 190.800000, ZIP, 5799, 20, 289.950000, 
trial0001202, AA, 4622, 20, 231.100000, ZIP, 5731, 20, 286.550000, 
trial0001203, AA, 3782, 20, 189.100000, ZIP, 6659, 20, 332.950000, 
trial0001204, AA, 4566, 20, 228.300000, ZIP, 5776, 20, 288.800000, 
trial0001205, AA, 3338, 20, 166.900000, ZIP, 6950, 20, 347.500000, 
trial0001206, AA, 5002, 20, 250.100000, ZIP, 5284, 20, 264.200000, 
trial0001207, AA, 4416, 20, 220.800000, ZIP, 5773, 20, 288.650000, 
trial0001208, AA, 5030, 20, 251.500000, ZIP, 5336, 20, 266.800000, 
trial0001209, AA, 4336, 20, 216.800000, ZIP, 6087, 20, 304.350000, 
trial0001210, AA, 3173, 20, 158.650000, ZIP, 6719, 20, 335.950000, 
trial0001211, AA, 3970, 20, 198.500000, ZIP, 5109, 20, 255.450000, 
trial0001212, AA, 5022, 20, 251.100000, ZIP, 5193, 20, 259.650000, 
trial0001213, AA, 5401, 20, 270.050000, ZIP, 5053, 20, 252.650000, 
trial0001214, AA, 4409, 20, 220.450000, ZIP, 6027, 20, 301.350000, 
trial0001215, AA, 6701, 20, 335.050000, ZIP, 3391, 20, 169.550000, 
trial0001216, AA, 4844, 20, 242.200000, ZIP, 5355, 20, 267.750000, 
trial0001217, AA, 6626, 20, 331.300000, ZIP, 3929, 20, 196.450000, 
trial0001218, AA, 2728, 20, 136.400000, ZIP, 7483, 20, 374.150000, 
trial0001219, AA, 4224, 20, 211.200000, ZIP, 6341, 20, 317.050000, 
trial0001220, AA, 3894, 20, 194.700000, ZIP, 6419, 20, 320.950000, 
trial0001221, AA, 5940, 20, 297.000000, ZIP, 4657, 20, 232.850000, 
trial0001222, AA, 4484, 20, 224.200000, ZIP, 6254, 20, 312.700000, 
trial0001223, AA, 3366, 20, 168.300000, ZIP, 6604, 20, 330.200000, 
trial0001224, AA, 4876, 20, 243.800000, ZIP, 5335, 20, 266.750000, 
