trial0000169, AA, 6060, 38, 159.473684, GDX, 635, 2, 317.500000, 
trial0000170, AA, 6428, 38, 169.157895, GDX, 222, 2, 111.000000, 
trial0000171, AA, 5436, 38, 143.052632, GDX, 1064, 2, 532.000000, 
trial0000172, AA, 6730, 38, 177.105263, GDX, 0, 2, 0.000000, 
trial0000173, AA, 6225, 38, 163.815789, GDX, 449, 2, 224.500000, 
trial0000174, AA, 6395, 38, 168.289474, GDX, 244, 2, 122.000000, 
trial0000175, AA, 6664, 38, 175.368421, GDX, 83, 2, 41.500000, 
trial0000176, AA, 6403, 38, 168.500000, GDX, 205, 2, 102.500000, 
trial0000177, AA, 6718, 38, 176.789474, GDX, 0, 2, 0.000000, 
trial0000178, AA, 6357, 38, 167.289474, GDX, 261, 2, 130.500000, 
trial0000179, AA, 6072, 38, 159.789474, GDX, 387, 2, 193.500000, 
trial0000180, AA, 6558, 38, 172.578947, GDX, 10, 2, 5.000000, 
trial0000181, AA, 5613, 38, 147.710526, GDX, 970, 2, 485.000000, 
trial0000182, AA, 5656, 38, 148.842105, GDX, 502, 2, 251.000000, 
trial0000183, AA, 6688, 38, 176.000000, GDX, 0, 2, 0.000000, 
trial0000184, AA, 6056, 38, 159.368421, GDX, 564, 2, 282.000000, 
trial0000185, AA, 5982, 38, 157.421053, GDX, 658, 2, 329.000000, 
trial0000186, AA, 6710, 38, 176.578947, GDX, 66, 2, 33.000000, 
trial0000187, AA, 6642, 38, 174.789474, GDX, 12, 2, 6.000000, 
trial0000188, AA, 5911, 38, 155.552632, GDX, 659, 2, 329.500000, 
trial0000189, AA, 6271, 38, 165.026316, GDX, 327, 2, 163.500000, 
trial0000190, AA, 6331, 38, 166.605263, GDX, 474, 2, 237.000000, 
trial0000191, AA, 6226, 38, 163.842105, GDX, 235, 2, 117.500000, 
trial0000192, AA, 5793, 38, 152.447368, GDX, 674, 2, 337.000000, 
trial0000193, AA, 5934, 38, 156.157895, GDX, 693, 2, 346.500000, 
trial0000194, AA, 6161, 38, 162.131579, GDX, 255, 2, 127.500000, 
trial0000195, AA, 5720, 38, 150.526316, GDX, 692, 2, 346.000000, 
trial0000196, AA, 6196, 38, 163.052632, GDX, 481, 2, 240.500000, 
trial0000197, AA, 6374, 38, 167.736842, GDX, 315, 2, 157.500000, 
trial0000198, AA, 6369, 38, 167.605263, GDX, 295, 2, 147.500000, 
trial0000199, AA, 6755, 38, 177.763158, GDX, 4, 2, 2.000000, 
trial0000200, AA, 6141, 38, 161.605263, GDX, 545, 2, 272.500000, 
trial0000201, AA, 8823, 38, 232.184211, GDX, 345, 2, 172.500000, 
trial0000202, AA, 8814, 38, 231.947368, GDX, 226, 2, 113.000000, 
trial0000203, AA, 9193, 38, 241.921053, GDX, 0, 2, 0.000000, 
trial0000204, AA, 8487, 38, 223.342105, GDX, 798, 2, 399.000000, 
trial0000205, AA, 8902, 38, 234.263158, GDX, 165, 2, 82.500000, 
trial0000206, AA, 9159, 38, 241.026316, GDX, 298, 2, 149.000000, 
trial0000207, AA, 9276, 38, 244.105263, GDX, 22, 2, 11.000000, 
trial0000208, AA, 9166, 38, 241.210526, GDX, 28, 2, 14.000000, 
trial0000209, AA, 7927, 38, 208.605263, GDX, 1084, 2, 542.000000, 
trial0000210, AA, 8071, 38, 212.394737, GDX, 929, 2, 464.500000, 
trial0000211, AA, 8542, 38, 224.789474, GDX, 543, 2, 271.500000, 
trial0000212, AA, 8918, 38, 234.684211, GDX, 296, 2, 148.000000, 
