trial0002119, AA, 1912, 14, 136.571429, ZIC, 390, 14, 27.857143, ZIP, 2681, 14, 191.500000, 
trial0002120, AA, 1590, 14, 113.571429, ZIC, 878, 14, 62.714286, ZIP, 3013, 14, 215.214286, 
trial0002121, AA, 1776, 14, 126.857143, ZIC, 884, 14, 63.142857, ZIP, 1697, 14, 121.214286, 
trial0002122, AA, 1598, 14, 114.142857, ZIC, 1499, 14, 107.071429, ZIP, 1534, 14, 109.571429, 
trial0002123, AA, 1335, 14, 95.357143, ZIC, 545, 14, 38.928571, ZIP, 3298, 14, 235.571429, 
trial0002124, AA, 1716, 14, 122.571429, ZIC, 596, 14, 42.571429, ZIP, 2485, 14, 177.500000, 
trial0002125, AA, 1407, 14, 100.500000, ZIC, 1110, 14, 79.285714, ZIP, 2325, 14, 166.071429, 
trial0002126, AA, 2520, 14, 180.000000, ZIC, 680, 14, 48.571429, ZIP, 1835, 14, 131.071429, 
trial0002127, AA, 1919, 14, 137.071429, ZIC, 531, 14, 37.928571, ZIP, 2374, 14, 169.571429, 
trial0002128, AA, 1550, 14, 110.714286, ZIC, 1118, 14, 79.857143, ZIP, 1881, 14, 134.357143, 
trial0002129, AA, 1506, 14, 107.571429, ZIC, 971, 14, 69.357143, ZIP, 2224, 14, 158.857143, 
trial0002130, AA, 2053, 14, 146.642857, ZIC, 1771, 14, 126.500000, ZIP, 957, 14, 68.357143, 
trial0002131, AA, 1452, 14, 103.714286, ZIC, 1237, 14, 88.357143, ZIP, 2185, 14, 156.071429, 
trial0002132, AA, 1327, 14, 94.785714, ZIC, 832, 14, 59.428571, ZIP, 2706, 14, 193.285714, 
trial0002133, AA, 1472, 14, 105.142857, ZIC, 1094, 14, 78.142857, ZIP, 2160, 14, 154.285714, 
trial0002134, AA, 2165, 14, 154.642857, ZIC, 891, 14, 63.642857, ZIP, 2036, 14, 145.428571, 
trial0002135, AA, 1877, 14, 134.071429, ZIC, 537, 14, 38.357143, ZIP, 2965, 14, 211.785714, 
trial0002136, AA, 2104, 14, 150.285714, ZIC, 624, 14, 44.571429, ZIP, 2715, 14, 193.928571, 
trial0002137, AA, 871, 14, 62.214286, ZIC, 1421, 14, 101.500000, ZIP, 1905, 14, 136.071429, 
trial0002138, AA, 1174, 14, 83.857143, ZIC, 1212, 14, 86.571429, ZIP, 2210, 14, 157.857143, 
trial0002139, AA, 1495, 14, 106.785714, ZIC, 1173, 14, 83.785714, ZIP, 2152, 14, 153.714286, 
trial0002140, AA, 1394, 14, 99.571429, ZIC, 1212, 14, 86.571429, ZIP, 2258, 14, 161.285714, 
trial0002141, AA, 1514, 14, 108.142857, ZIC, 1092, 14, 78.000000, ZIP, 2075, 14, 148.214286, 
trial0002142, AA, 960, 14, 68.571429, ZIC, 1889, 14, 134.928571, ZIP, 1871, 14, 133.642857, 
trial0002143, AA, 2179, 14, 155.642857, ZIC, 861, 14, 61.500000, ZIP, 1845, 14, 131.785714, 
trial0002144, AA, 2201, 14, 157.214286, ZIC, 1101, 14, 78.642857, ZIP, 1768, 14, 126.285714, 
trial0002145, AA, 980, 14, 70.000000, ZIC, 1605, 14, 114.642857, ZIP, 1419, 14, 101.357143, 
